article_id,newspaper,ipcc_window,search_term,title,article_url,section,published_date,image_count
c9w15nggj58o,BBC News,ar5,"""climate change""",What is climate change? A really simple guide,https://www.bbc.co.uk/news/articles/c9w15nggj58o,BBC search,2013-09-23,4
science-environment-24494398,BBC News,ar5,"""global warming""","Global warming will increase intensity of El Nino, scientists say",https://www.bbc.co.uk/news/science-environment-24494398,BBC search,2013-10-14,1
science-environment-28870988,BBC News,ar5,"""global warming""",Global warming slowdown 'could last another decade',https://www.bbc.co.uk/news/science-environment-28870988,BBC search,2014-08-21,1
science-environment-30399073,BBC News,ar5,"""carbon dioxide""",Carbon dioxide satellite mission returns first global maps,https://www.bbc.co.uk/news/science-environment-30399073,BBC search,2014-12-18,1
world-us-canada-44067797,BBC News,special_reports,"""greenhouse gas""",Trump White House axes Nasa research into greenhouse gas cuts,https://www.bbc.co.uk/news/world-us-canada-44067797,BBC search,2018-05-10,1
world-43789527,BBC News,special_reports,"""carbon dioxide""",Turning carbon dioxide into rock - forever,https://www.bbc.co.uk/news/world-43789527,BBC search,2018-05-17,1
science-environment-45653099,BBC News,special_reports,IPCC,IPCC: Climate scientists consider 'life changing' report,https://www.bbc.co.uk/news/science-environment-45653099,BBC search,2018-10-01,1
science-environment-45784892,BBC News,special_reports,IPCC,Five things we have learned from the IPCC report,https://www.bbc.co.uk/news/science-environment-45784892,BBC search,2018-10-08,1
uk-northern-ireland-48338943,BBC News,special_reports,"""carbon dioxide""",Warrenpoint Port set for Â£9.5m carbon dioxide terminal,https://www.bbc.co.uk/news/uk-northern-ireland-48338943,BBC search,2019-05-20,1
uk-scotland-highlands-islands-49884457,BBC News,special_reports,"""sea level""",'Shocking level' of litter on sea corals off Scotland,https://www.bbc.co.uk/news/uk-scotland-highlands-islands-49884457,BBC search,2019-10-03,2
science-environment-50236882,BBC News,special_reports,"""sea level""",Climate change: Sea level rise to affect 'three times more people',https://www.bbc.co.uk/news/science-environment-50236882,BBC search,2019-10-30,2
science-environment-50438611,BBC News,special_reports,"""sea level""",Sentinel for sea-level rise enters testing,https://www.bbc.co.uk/news/science-environment-50438611,BBC search,2019-11-15,2
science-environment-51283716,BBC News,special_reports,"""sea level""",Coastal floods warning in UK as sea levels rise,https://www.bbc.co.uk/news/science-environment-51283716,BBC search,2020-02-14,1
uk-scotland-53063990,BBC News,special_reports,"""greenhouse gas""",Power sector problems see greenhouse gas target missed,https://www.bbc.co.uk/news/uk-scotland-53063990,BBC search,2020-06-16,2
science-environment-56935097,BBC News,ar6,"""sea level""",The Cornish hut that gave rise to sea level benchmark,https://www.bbc.co.uk/news/science-environment-56935097,BBC search,2021-04-30,1
cy4dgp1p3p1o,BBC News,ar6,"""climate change""","How climate change worsens heatwaves, droughts, fires and floods",https://www.bbc.co.uk/news/articles/cy4dgp1p3p1o,BBC search,2021-08-09,4
science-environment-58130705,BBC News,ar6,IPCC,Climate change: IPCC report is 'code red for humanity',https://www.bbc.co.uk/news/science-environment-58130705,BBC search,2021-08-09,1
science-environment-58138714,BBC News,ar6,IPCC,Climate change: Five things we have learned from the IPCC report,https://www.bbc.co.uk/news/science-environment-58138714,BBC search,2021-08-09,5
uk-wales-58146128,BBC News,ar6,IPCC,Climate change: IPCC report heralds Wales' 'last-chance saloon',https://www.bbc.co.uk/news/uk-wales-58146128,BBC search,2021-08-09,2
world-58064485,BBC News,ar6,IPCC,Climate change: At-risk nations fear extinction after IPCC report,https://www.bbc.co.uk/news/world-58064485,BBC search,2021-08-09,2
science-environment-58494641,BBC News,ar6,ERA5,Climate change: World now sees twice as many days over 50C,https://www.bbc.co.uk/news/science-environment-58494641,BBC search,2021-09-13,2
business-58641394,BBC News,ar6,"""carbon dioxide""",Gas price crisis: Food firms face huge price rise for carbon dioxide,https://www.bbc.co.uk/news/business-58641394,BBC search,2021-09-22,1
business-58867911,BBC News,ar6,"""carbon dioxide""",Carbon dioxide supply deal agreed between government and firms,https://www.bbc.co.uk/news/business-58867911,BBC search,2021-10-11,1
science-environment-58899006,BBC News,ar6,"""greenhouse gas""",Net zero announcement: UK sets out plans to cut greenhouse gas emissions,https://www.bbc.co.uk/news/science-environment-58899006,BBC search,2021-10-19,1
world-59156491,BBC News,ar6,"""global warming""",COP26 promises could limit global warming to 1.8C,https://www.bbc.co.uk/news/live/world-59156491,BBC search,2021-11-04,2
science-environment-61795783,BBC News,ar6,"""sea level""","Climate change: Rising sea levels threaten 200,000 England properties",https://www.bbc.co.uk/news/science-environment-61795783,BBC search,2022-06-15,1
science-environment-62322574,BBC News,ar6,"""sea level""",Climate change: UK sea level rise speeding up - Met Office,https://www.bbc.co.uk/news/science-environment-62322574,BBC search,2022-07-28,1
uk-england-essex-64255567,BBC News,ar6,"""sea level""",Flood of 1953: Canvey Island defiant in face of rising sea levels,https://www.bbc.co.uk/news/uk-england-essex-64255567,BBC search,2023-01-31,2
science-environment-65602293,BBC News,ar6,"""global warming""",Global warming set to break key 1.5C limit for first time,https://www.bbc.co.uk/news/science-environment-65602293,BBC search,2023-05-17,1
science-environment-67171231,BBC News,ar6,"""sea level""",Sea-level rise: West Antarctic ice shelf melt 'unavoidable',https://www.bbc.co.uk/news/science-environment-67171231,BBC search,2023-10-23,2
cp8ned4xnewo,BBC News,ar6,"""carbon dioxide""",Fawley: Concerns raised over planned carbon dioxide pipe,https://www.bbc.co.uk/news/articles/cp8ned4xnewo,BBC search,2024-08-09,1
c8rxlygvnx6o,BBC News,ar6,emissions,"Future Earth Newsletter Climate Q&A: Emissions, volcanoes and EVs",https://www.bbc.co.uk/news/articles/c8rxlygvnx6o,BBC search,2024-08-16,2
