article_id,newspaper,search_term,title,article_url,section,published_date,image_count
business-58641394,BBC News,"""carbon dioxide""",Gas price crisis: Food firms face huge price rise for carbon dioxide,https://www.bbc.co.uk/news/business-58641394,BBC search,,1
business-58867911,BBC News,"""carbon dioxide""",Carbon dioxide supply deal agreed between government and firms,https://www.bbc.co.uk/news/business-58867911,BBC search,,1
c04gqez4lkyo,BBC News,"""climate change""",What was agreed on climate change at COP30 in Brazil?,https://www.bbc.co.uk/news/articles/c04gqez4lkyo,BBC search,,2
c0m9yez3780o,BBC News,temperature,UK weather: Warmest day of year as temperatures reach 24.9C,https://www.bbc.co.uk/news/articles/c0m9yez3780o,BBC search,,1
c1j2gd8yr6go,BBC News,"""sea level""",Poverty and technology leading to record levels of slavery in UK,https://www.bbc.co.uk/news/articles/c1j2gd8yr6go,BBC search,,1
c2k1103vljqo,BBC News,"""climate change""",How unusual is this UK heat and is climate change to blame?,https://www.bbc.co.uk/news/articles/c2k1103vljqo,BBC search,,1
c30dn5dn53jo,BBC News,"""carbon dioxide""",Planet-warming carbon dioxide levels rose more than ever in 2024,https://www.bbc.co.uk/news/articles/c30dn5dn53jo,BBC search,,2
c3d09xp1ye2o,BBC News,emissions,Potential emissions revealed for controversial Jackdaw gas field,https://www.bbc.co.uk/news/articles/c3d09xp1ye2o,BBC search,,1
c5y5p9rzd4ko,BBC News,temperature,"Global temperatures dip in 2025 but more heat records on way, scientists warn",https://www.bbc.co.uk/news/articles/c5y5p9rzd4ko,BBC search,,1
c7533y6l3k0o,BBC News,temperature,Marine heatwave: UK sea temperatures soar after exceptionally warm Spring,https://www.bbc.co.uk/news/articles/c7533y6l3k0o,BBC search,,3
c79q8y84exdo,BBC News,temperature,UK weather: Amber heat health alerts issued as temperatures to soar,https://www.bbc.co.uk/news/articles/c79q8y84exdo,BBC search,,1
c7vlj8717jgo,BBC News,"""sea level""",Llandudno swimmers warned of harmful bacteria levels in West Shore sea water,https://www.bbc.co.uk/news/articles/c7vlj8717jgo,BBC search,,1
c8d6jmmdq5go,BBC News,temperature,Temperatures surpass 29C as UK heads for heatwave,https://www.bbc.co.uk/news/articles/c8d6jmmdq5go,BBC search,,1
c8rxlygvnx6o,BBC News,emissions,"Future Earth Newsletter Climate Q&A: Emissions, volcanoes and EVs",https://www.bbc.co.uk/news/articles/c8rxlygvnx6o,BBC search,,2
