article_id,newspaper,search_term,article_url,published_date,image_index,image_url,local_image_path,caption,credit
business-58641394,BBC News,"""carbon dioxide""",https://www.bbc.co.uk/news/business-58641394,,1,https://ichef.bbci.co.uk/ace/standard/1280/cpsprodpb/4438/production/_120646471_co2_production-nc.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_business-58641394_img01.png,,
business-58867911,BBC News,"""carbon dioxide""",https://www.bbc.co.uk/news/business-58867911,,1,https://ichef.bbci.co.uk/ace/standard/1280/cpsprodpb/D0E0/production/_121027435_co2_inf640-2x-nc.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_business-58867911_img01.png,,
c04gqez4lkyo,BBC News,"""climate change""",https://www.bbc.co.uk/news/articles/c04gqez4lkyo,,1,https://ichef.bbci.co.uk/ace/standard/1920/cpsprodpb/f02d/live/a8cfc080-4c44-11f0-a466-d54f65b60deb.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_c04gqez4lkyo_img01.png,,
c04gqez4lkyo,BBC News,"""climate change""",https://www.bbc.co.uk/news/articles/c04gqez4lkyo,,2,https://ichef.bbci.co.uk/ace/standard/1920/cpsprodpb/8c6c/live/f9295fc0-0fde-11f0-ba12-8d27eb561761.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_c04gqez4lkyo_img02.png,,
c0m9yez3780o,BBC News,temperature,https://www.bbc.co.uk/news/articles/c0m9yez3780o,,1,https://ichef.bbci.co.uk/ace/standard/976/cpsprodpb/8fd2/live/51bcfe60-24e0-11f0-8f57-b7237f6a66e6.jpg,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_c0m9yez3780o_img01.jpg,,
c1j2gd8yr6go,BBC News,"""sea level""",https://www.bbc.co.uk/news/articles/c1j2gd8yr6go,,1,https://ichef.bbci.co.uk/ace/standard/1920/cpsprodpb/86af/live/6a83c5b0-486a-11f1-b55d-0f258dce1735.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_c1j2gd8yr6go_img01.png,,
c2k1103vljqo,BBC News,"""climate change""",https://www.bbc.co.uk/news/articles/c2k1103vljqo,,1,https://ichef.bbci.co.uk/ace/standard/1920/cpsprodpb/db78/live/b4a88aa0-55a3-11f0-9074-8989d8c97d87.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_c2k1103vljqo_img01.png,,
c30dn5dn53jo,BBC News,"""carbon dioxide""",https://www.bbc.co.uk/news/articles/c30dn5dn53jo,,1,https://ichef.bbci.co.uk/ace/standard/1920/cpsprodpb/96b2/live/ceed61f0-d43a-11ef-9fd6-0be88a764111.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_c30dn5dn53jo_img01.png,,
c30dn5dn53jo,BBC News,"""carbon dioxide""",https://www.bbc.co.uk/news/articles/c30dn5dn53jo,,3,https://ichef.bbci.co.uk/ace/standard/1600/cpsprodpb/011f/live/0ed486c0-d4ab-11ef-9fd6-0be88a764111.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_c30dn5dn53jo_img03.png,,
c3d09xp1ye2o,BBC News,emissions,https://www.bbc.co.uk/news/articles/c3d09xp1ye2o,,1,https://ichef.bbci.co.uk/ace/standard/976/cpsprodpb/7919/live/84d1c960-de91-11ef-bd1b-d536627785f2.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_c3d09xp1ye2o_img01.png,,
c5y5p9rzd4ko,BBC News,temperature,https://www.bbc.co.uk/news/articles/c5y5p9rzd4ko,,2,https://ichef.bbci.co.uk/ace/standard/1600/cpsprodpb/e2b3/live/15a8ef90-f09d-11f0-b385-5f48925de19a.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_c5y5p9rzd4ko_img02.png,,
c7533y6l3k0o,BBC News,temperature,https://www.bbc.co.uk/news/articles/c7533y6l3k0o,,1,https://ichef.bbci.co.uk/ace/standard/1280/cpsprodpb/5670/live/9109dbd0-3663-11f0-8947-7d6241f9fce9.jpg,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_c7533y6l3k0o_img01.jpg,,
c7533y6l3k0o,BBC News,temperature,https://www.bbc.co.uk/news/articles/c7533y6l3k0o,,2,https://ichef.bbci.co.uk/ace/standard/1920/cpsprodpb/0427/live/65aa7ee0-3663-11f0-8519-3b5a01ebe413.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_c7533y6l3k0o_img02.png,,
c7533y6l3k0o,BBC News,temperature,https://www.bbc.co.uk/news/articles/c7533y6l3k0o,,3,https://ichef.bbci.co.uk/ace/standard/1280/cpsprodpb/4645/live/3f67b390-365b-11f0-8947-7d6241f9fce9.jpg,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_c7533y6l3k0o_img03.jpg,,
c79q8y84exdo,BBC News,temperature,https://www.bbc.co.uk/news/articles/c79q8y84exdo,,1,https://ichef.bbci.co.uk/ace/standard/1920/cpsprodpb/89d2/live/de2709f0-527f-11f0-a2ff-17a82c2e8bc4.jpg,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_c79q8y84exdo_img01.jpg,,
c7vlj8717jgo,BBC News,"""sea level""",https://www.bbc.co.uk/news/articles/c7vlj8717jgo,,1,https://ichef.bbci.co.uk/ace/standard/880/cpsprodpb/724a/live/5687b850-7d31-11f0-b6c9-e1728577c12d.jpg,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_c7vlj8717jgo_img01.jpg,"Image caption, Samples taken at Llandudno's West Shore found unsafe levels of bacteria",
