article_id,newspaper,ipcc_window,search_term,article_title,article_url,published_date,image_index,image_url,local_image_path,caption,credit
science-environment-21549643,BBC News,2013,"""1.5C""",Siberian permafrost thaw warning sparked by cave data,https://www.bbc.co.uk/news/science-environment-21549643,2013-02-22,1,https://ichef.bbci.co.uk/ace/standard/624/mcs/media/images/66022000/jpg/_66022294_66022228.jpg,,"Image caption, The caves record changing conditions over hundreds of thousands of years",
science-environment-21549643,BBC News,2013,"""1.5C""",Siberian permafrost thaw warning sparked by cave data,https://www.bbc.co.uk/news/science-environment-21549643,2013-02-22,2,https://ichef.bbci.co.uk/ace/standard/624/mcs/media/images/66022000/jpg/_66022297_66022295.jpg,,"Image caption, Thawing of permafrost would have huge implications for ecosystems, says the team",
science-environment-22527273,BBC News,2013,"""sea level rise""",'Best estimate' for impact of melting ice on sea level rise,https://www.bbc.co.uk/news/science-environment-22527273,2013-05-14,1,"https://ichef.bbci.co.uk/ace/standard/624/mcs/media/images/67603000/jpg/_67603835_c0160122-snow_covered_slope_at_sunrise,_greenland-spl.jpg",,"Image caption, Researchers say they now have the most accurate estimate yet for the impact of the melting of ice sheets",
science-environment-22527273,BBC News,2013,"""sea level rise""",'Best estimate' for impact of melting ice on sea level rise,https://www.bbc.co.uk/news/science-environment-22527273,2013-05-14,2,"https://ichef.bbci.co.uk/ace/standard/412/mcs/media/images/67603000/jpg/_67603840_c0122495-pine_island_glacier,_antarctica,_2011-spl.jpg",,"Image caption, The Pine Island Glacier developed a large crack in 2011 but scientists suggest it won't contribute significantly to sea level rise by 2100",
science-environment-22531949,BBC News,2013,"""sea level rise""",Sea levels are rising - but how quickly?,https://www.bbc.co.uk/news/science-environment-22531949,2013-05-14,1,https://ichef.bbci.co.uk/ace/standard/464/mcs/media/images/67605000/jpg/_67605176_glacier.jpg,,"Image caption, Sea level rise remains one of the big unknowns of climate science",
science-environment-22531949,BBC News,2013,"""sea level rise""",Sea levels are rising - but how quickly?,https://www.bbc.co.uk/news/science-environment-22531949,2013-05-14,2,https://ichef.bbci.co.uk/ace/standard/304/mcs/media/images/67605000/jpg/_67605180_tuvalu.jpg,,"Image caption, Tuvalu fears rising tides",
c9w15nggj58o,BBC News,2013,"""climate change""",What is climate change? A really simple guide,https://www.bbc.co.uk/news/articles/c9w15nggj58o,2013-09-23,1,https://ichef.bbci.co.uk/ace/standard/1024/cpsprodpb/e501/live/56b6eed0-b4cd-11f0-ae37-2fc53b10a225.jpg,,,
c9w15nggj58o,BBC News,2013,"""climate change""",What is climate change? A really simple guide,https://www.bbc.co.uk/news/articles/c9w15nggj58o,2013-09-23,2,https://ichef.bbci.co.uk/ace/standard/1920/cpsprodpb/ed19/live/23e1d380-f069-11f0-b5f7-49f0357294ff.png,,,
c9w15nggj58o,BBC News,2013,"""climate change""",What is climate change? A really simple guide,https://www.bbc.co.uk/news/articles/c9w15nggj58o,2013-09-23,3,https://ichef.bbci.co.uk/ace/standard/1920/cpsprodpb/0de1/live/676db750-d43a-11ef-87df-d575b9a434a4.png,,,
c9w15nggj58o,BBC News,2013,"""climate change""",What is climate change? A really simple guide,https://www.bbc.co.uk/news/articles/c9w15nggj58o,2013-09-23,4,https://ichef.bbci.co.uk/ace/standard/999/cpsprodpb/9eb3/live/ff926930-6c89-11f0-af20-030418be2ca5.jpg,,"Image caption, The LA fires killed 30 people and caused about 200,000 people to be evacuated",
