article_id,newspaper,search_term,title,article_url,section,published_date,image_count
travel_2013_mar_25_norfolk-broads-locals-guide-wherrymans-way,The Guardian,"""sea level""",Norfolk Broads: a local's guide to the Wherryman's Way,https://www.theguardian.com/travel/2013/mar/25/norfolk-broads-locals-guide-wherrymans-way,Travel,2013-03-25,1
uk_2013_may_22_police-respond-serious-incident-woolwich,The Guardian,IPCC,Man killed in deadly terror attack in London street,https://www.theguardian.com/uk/2013/may/22/police-respond-serious-incident-woolwich,UK news,2013-05-22,1
travel_2013_jun_07_backpacking-theodora-sutcliffe-china,The Guardian,"""sea level""",Backpacking: a family affair,https://www.theguardian.com/travel/2013/jun/07/backpacking-theodora-sutcliffe-china,Travel,2013-06-07,1
environment_climate-consensus-97-per-cent_2013_jul_17_climate-change-scepticism-andrew-neil-ed-davey,The Guardian,IPCC,Andrew Neil - these are your climate errors on BBC Sunday Politics,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2013/jul/17/climate-change-scepticism-andrew-neil-ed-davey,Environment,2013-07-17,1
science_2013_jul_22_climate-change-slowdown-warming-oceans,The Guardian,IPCC,"Climate change slowdown is due to warming of deep oceans, say scientists",https://www.theguardian.com/science/2013/jul/22/climate-change-slowdown-warming-oceans,Environment,2013-07-22,1
environment_climate-consensus-97-per-cent_2013_jul_23_climate-change-andrew-neil-bbc-errors-take2,The Guardian,IPCC,The climate change policy discussion I wish Andrew Neil would have on BBC,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2013/jul/23/climate-change-andrew-neil-bbc-errors-take2,Environment,2013-07-23,1
environment_climate-consensus-97-per-cent_2013_aug_30_climate-change-rcp-handy-summary,The Guardian,IPCC,Now available: a guide to the IPCC's new RCP emissions pathways,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2013/aug/30/climate-change-rcp-handy-summary,Environment,2013-08-30,1
environment_2013_sep_27_ipcc-world-dangerous-climate-change,The Guardian,IPCC,IPCC: 30 years to climate calamity if we carry on blowing the carbon budget,https://www.theguardian.com/environment/2013/sep/27/ipcc-world-dangerous-climate-change,Environment,2013-09-27,2
environment_climate-consensus-97-per-cent_2013_oct_11_climate-change-political-media-ipcc-coverage,The Guardian,IPCC,Conservative media outlets found guilty of biased global warming coverage,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2013/oct/11/climate-change-political-media-ipcc-coverage,Environment,2013-10-11,3
environment_climate-consensus-97-per-cent_2013_oct_23_climate-change-climate-change-scepticism,The Guardian,IPCC,Fox News defends global warming false balance by denying the 97% consensus,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2013/oct/23/climate-change-climate-change-scepticism,Environment,2013-10-23,1
global-development_2013_nov_14_philippines-disaster-vulnerable-haiyan,The Guardian,"""carbon dioxide""",Philippines rockets up list of countries most vulnerable to disaster,https://www.theguardian.com/global-development/2013/nov/14/philippines-disaster-vulnerable-haiyan,Global development,2013-11-14,1
environment_climate-consensus-97-per-cent_2013_nov_20_climate-change-haiyan-hurricanes,The Guardian,IPCC,Will extreme weather like super typhoon Haiyan become the new norm?,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2013/nov/20/climate-change-haiyan-hurricanes,Environment,2013-11-20,1
