article_id,newspaper,ipcc_window,search_term,title,article_url,section,published_date,image_count
guardian_a8c7c6ebfe,The Guardian,2013,"""sea level rise""",How Olympic spirit can turn around the prospects of global warming,https://www.theguardian.com/environment/blog/2013/jan/02/olympics-2012-global-warming,Environment,2013-01-02,1
guardian_8e43057087,The Guardian,2013,"""global temperature""","Hottest on record: 2012 was America's warmest ever year, scientists say",https://www.theguardian.com/environment/2013/jan/08/hottest-on-record-2012-america,Environment,2013-01-08,2
guardian_aa1f3006a3,The Guardian,2013,"""global temperature""",Wildfires: an astonishing photograph of survivors in an age of catastrophe,https://www.theguardian.com/commentisfree/2013/jan/09/australian-wildfires-astonishing-photograph,Opinion,2013-01-09,1
guardian_b7866bb156,The Guardian,2013,"""global temperature""",Global warming: has the rise in temperatures 'paused'? – as it happened,https://www.theguardian.com/environment/blog/2013/jan/09/global-warming-met-office-paused,Environment,2013-01-10,2
guardian_d6f881d414,The Guardian,2013,"""sea level rise""","Climate change set to make America hotter, drier and more disaster-prone",https://www.theguardian.com/environment/2013/jan/11/climate-change-america-hotter-drier-disaster,Environment,2013-01-11,4
guardian_161389b6a0,The Guardian,2013,"""carbon budget""",Ed Davey: UK companies support decarbonising target,https://www.theguardian.com/environment/2013/jan/15/ed-davey-companies-decarbonising-target,Environment,2013-01-15,1
guardian_d53dffd825,The Guardian,2013,"""global temperature""","Guardian Weekly Letters, 18 January 2013",https://www.theguardian.com/global/2013/jan/15/guardian-weekly-letters-18-january,Global,2013-01-15,0
guardian_a9bb4437ce,The Guardian,2013,"""global temperature""","2012 among the 10 warmest years on record, figures show",https://www.theguardian.com/environment/2013/jan/16/2012-10-warmest-years-on-record,Environment,2013-01-16,1
guardian_3a186b351e,The Guardian,2013,"""global temperature""",How global temperatures have changed since 1880 - video,https://www.theguardian.com/environment/video/2013/jan/16/how-global-temperatures-changed-1880-video,Environment,2013-01-16,0
guardian_6be896b4e4,The Guardian,2013,"""global temperature""",Boris Johnson says snow casts doubt on climate change science,https://www.theguardian.com/environment/blog/2013/jan/21/boris-johnson-snow-climate-change,Environment,2013-01-21,1
guardian_8c4e336da4,The Guardian,2013,"""carbon budget""",China and Australia top list of 'carbon bomb' projects,https://www.theguardian.com/environment/2013/jan/22/china-australia-carbon-bomb,Environment,2013-01-22,2
guardian_bcbc95637e,The Guardian,2013,"""global temperature""",Davos 2013: why food and resource security will be on the agenda,https://www.theguardian.com/sustainable-business/food-resource-security-agenda-davos,Guardian Sustainable Business,2013-01-22,1
guardian_172ed231fd,The Guardian,2013,"""global temperature""",Leaders join to discuss climate change at Davos 2013,https://www.theguardian.com/sustainable-business/blog/leaders-discuss-climate-change-davos-2013,Guardian Sustainable Business,2013-01-24,1
guardian_2e99cf2aa2,The Guardian,2013,"""global temperature""","Heat from North American cities causing warmer winters, study finds",https://www.theguardian.com/science/2013/jan/27/scienceofclimatechange-climate-change,Environment,2013-01-27,1
guardian_d83613d340,The Guardian,2013,"""global temperature""",Tigers under threat from disappearing mangrove forest,https://www.theguardian.com/environment/2013/jan/29/sunderbans-disappearing-mangrove-india-bangladesh,Environment,2013-01-29,1
guardian_dad3b2d51e,The Guardian,2013,"""sea level rise""",Sea change: the Bay of Bengal's vanishing islands,https://www.theguardian.com/global-development/2013/jan/29/sea-change-bay-bengal-vanishing-islands,Environment,2013-01-29,3
guardian_ad39d648be,The Guardian,2013,"""sea level rise""",Media campaign against windfarms funded by anonymous conservatives,https://www.theguardian.com/environment/2013/feb/15/media-campaign-windfarms-conservatives,Environment,2013-02-15,1
guardian_7107564a4e,The Guardian,2013,"""global temperature""",Secret funding of climate sceptics is not restricted to the US,https://www.theguardian.com/environment/2013/feb/15/secret-funding-climate-sceptics-not-restricted-us,Environment,2013-02-15,1
guardian_a913e16574,The Guardian,2013,"""global temperature""","1.5C rise in temperature enough to start permafrost melt, scientists warn",https://www.theguardian.com/environment/2013/feb/21/temperature-rise-permafrost-melt,Environment,2013-02-21,1
guardian_81eb07a3c2,The Guardian,2013,"""global temperature""",Keystone XL decision will define Barack Obama's legacy on climate change,https://www.theguardian.com/environment/blog/2013/feb/22/keystone-xl-pipeline-barack-obama-oil-sands,Environment,2013-02-22,1
guardian_822dc3bb29,The Guardian,2013,"""carbon budget""",Ministers 'driving up bills by failing to commit to low-carbon energy',https://www.theguardian.com/environment/2013/feb/27/ministers-bills-low-carbon-energy,Environment,2013-02-27,1
guardian_69726b280f,The Guardian,2013,"""sea level rise""",IPCC urges Obama to raise awareness of science behind climate change,https://www.theguardian.com/environment/2013/feb/28/climate-change-barack-obama-ipcc-rajesh-pachauri,Environment,2013-02-28,1
guardian_731a47649e,The Guardian,2013,"""carbon budget""",Senior Lib Dems to join cross-party rebellion on decarbonisation targets,https://www.theguardian.com/politics/2013/mar/03/liberal-democrats-rebellion-decarbonisation-targets-energy,Politics,2013-03-03,1
guardian_7b87339e09,The Guardian,2013,"""sea level rise""","Guardian Weekly Letters, 8 March 2013",https://www.theguardian.com/global/2013/mar/05/guardian-weekly-letter-8-march,Global,2013-03-05,0
