article_id,newspaper,year_window,search_term,title,article_url,section,published_date,updated_date,image_count
guardian_2d73f4485d,The Guardian,2014,"""global temperature""",Tony Abbott urged to rethink climate policy after hottest year on record,https://www.theguardian.com/environment/2014/jan/03/abbott-urged-to-rethink-climate-policy,Environment,2014-01-03,2018-03-13,1
guardian_f640907719,The Guardian,2014,"""carbon budget""",Australia swelters under a sham climate change policy after hottest year on record,https://www.theguardian.com/environment/southern-crossroads/2014/jan/03/hottest-year-ever-confirmed-2013-australia-tony-abbott-climate-change,Environment,2014-01-03,2021-08-25,1
guardian_5876be7650,The Guardian,2014,"""sea level rise""",Court overrules climate change clause in council's beachfront house approval,https://www.theguardian.com/environment/2014/jan/06/court-overrules-climate-change-clause-in-councils-beachfront-house-approval,Environment,2014-01-06,2021-08-25,1
guardian_8efc8cbfc0,The Guardian,2014,"""sea level rise""",Britain's wild weather: the silver linings in dark clouds,https://www.theguardian.com/environment/2014/jan/06/britain-wild-weather-rain-storms-floods,Environment,2014-01-06,2021-10-29,4
guardian_f281d1c00e,The Guardian,2014,"""global temperature""",The Weekly Standard's Lindzen puff piece exemplifies the conservative media's climate failures,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2014/jan/06/climate-change-climate-change-scepticism,Global,2014-01-06,2021-08-25,2
guardian_1c045f7449,The Guardian,2014,IPCC,Win a chance to join a solar power debate in the House of Lords,https://www.theguardian.com/technology/2014/jan/09/win-chance-solar-power-house-lords,Technology,2014-01-09,2018-02-14,1
guardian_20663cd274,The Guardian,2014,"""sea level rise""",Harassment of climate scientists needs to stop,https://www.theguardian.com/commentisfree/2014/jan/09/denialist-harassment-of-climate-scientists-needs-to-stop,Opinion,2014-01-09,2021-08-25,1
guardian_2c900d2101,The Guardian,2014,IPCC,This perverse Mark Duggan verdict will ruin our relations with the police,https://www.theguardian.com/commentisfree/2014/jan/09/mark-duggan-verdict-relations-police,Opinion,2014-01-09,2018-01-11,1
guardian_3557397ce6,The Guardian,2014,IPCC,"Mark Duggan, the police and a question of justice",https://www.theguardian.com/uk-news/2014/jan/09/justice-police-death-mark-duggan,UK news,2014-01-09,2017-11-30,1
guardian_72ee10121b,The Guardian,2014,IPCC,David Cameron speaks to BBC London about Mark Duggan verdict : Politics live blog,https://www.theguardian.com/politics/blog/2014/jan/09/nick-clegg-hosts-his-lbc-phone-in-politics-live-blog,Politics,2014-01-09,2017-06-09,1
guardian_ae2b932bd7,The Guardian,2014,IPCC,"Global warming is being caused by humans, not the sun, and is highly sensitive to carbon, new research shows",https://www.theguardian.com/environment/climate-consensus-97-per-cent/2014/jan/09/global-warming-humans-not-sun,Environment,2014-01-09,2021-08-25,2
guardian_b1cec3f416,The Guardian,2014,IPCC,Nick Clegg: Mark Duggan family's anger after inquest understandable,https://www.theguardian.com/uk-news/2014/jan/09/nick-clegg-mark-duggan-family-anger-understandable,UK news,2014-01-09,2018-01-11,1
guardian_c3199b5afc,The Guardian,2014,IPCC,Met police hope personal cameras can restore trust after Mark Duggan killing,https://www.theguardian.com/uk-news/2014/jan/09/metropolitan-police-cameras-mark-duggan,UK news,2014-01-09,2017-11-30,1
guardian_f2825b91dc,The Guardian,2014,IPCC,David Cameron calls for calm after Mark Duggan inquest verdict,https://www.theguardian.com/uk-news/2014/jan/09/david-cameron-calm-mark-duggan-verdict,UK news,2014-01-09,2017-09-20,1
guardian_f09af422a7,The Guardian,2014,IPCC,"David Cameron right to link floods and global warming, say climate scientists",https://www.theguardian.com/environment/2014/jan/10/david-cameron-floods-global-warming-climate-scientists,Environment,2014-01-10,2021-08-25,1
guardian_e62192219d,The Guardian,2014,IPCC,Plebgate: Police Federation challenges watchdog's decision to reinvestigate,https://www.theguardian.com/uk-news/2014/jan/12/plebgate-police-federation-watchdog-officers,UK news,2014-01-12,2018-01-11,1
guardian_0417971133,The Guardian,2014,IPCC,"Mark Duggan police must stop refusing to be interviewed, says IPCC head",https://www.theguardian.com/uk-news/2014/jan/14/mark-duggan-police-must-talk-says-ipcc,UK news,2014-01-14,2018-01-11,1
guardian_19972dd84f,The Guardian,2014,IPCC,Oxford University apologises after list of low-grade students is made public,https://www.theguardian.com/education/abby-and-libby-blog/2014/jan/14/oxford-university-exam-results-blunder,Education,2014-01-14,2017-07-05,2
guardian_528bf23bc5,The Guardian,2014,"""carbon budget""",UN climate chief calls for tripling of clean energy investment,https://www.theguardian.com/environment/2014/jan/14/un-climate-chief-tripling-clean-energy-investment-christiana-figueres,Environment,2014-01-14,2021-08-25,1
guardian_b47bb0888b,The Guardian,2014,IPCC,Police co-operation lacking in Mark Duggan probe by IPCC,https://www.theguardian.com/uk-news/2014/jan/14/police-co-operation-lacking-mark-duggan-ipcc,UK news,2014-01-14,2018-01-11,0
guardian_c0db9e2fca,The Guardian,2014,"""sea level rise""",Britain's homes in race against time with climate change,https://www.theguardian.com/housing-network/2014/jan/14/britain-housing-climate-change-race-time,Housing Network,2014-01-14,2014-04-22,1
guardian_4c0ffb0308,The Guardian,2014,IPCC,Cameron and Miliband at PMQs: Politics live blog,https://www.theguardian.com/politics/blog/2014/jan/15/george-osbornes-speech-on-eu-reform-politics-live-blog,Politics,2014-01-15,2019-03-07,3
guardian_592732f10c,The Guardian,2014,IPCC,David Cameron considers IPCC reforms,https://www.theguardian.com/politics/2014/jan/15/david-cameron-ipcc-reforms-police,UK news,2014-01-15,2018-03-13,1
guardian_5e5340aed0,The Guardian,2014,"""sea level rise""","To tackle inequality, the first priority is to fight climate change",https://www.theguardian.com/sustainable-business/tackle-inequality-climate-change-obama,Guardian Sustainable Business,2014-01-15,2021-08-27,1
guardian_a556e02f7d,The Guardian,2014,IPCC,"Harnessing governments, business and finance for a green revolution",https://www.theguardian.com/sustainable-business/government-business-finance-green-revolution,Guardian Sustainable Business,2014-01-15,2021-08-27,1
guardian_cccd4cb7de,The Guardian,2014,IPCC,Hillsborough relatives demand answers over Met chief's conduct,https://www.theguardian.com/football/2014/jan/15/hillsborough-relatives-met-chief-hogan-howe,Football,2014-01-15,2017-11-30,1
guardian_09f4fa770c,The Guardian,2014,"""sea level rise""",High-stakes climate poker,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2014/jan/16/high-stakes-climate-poker,Environment,2014-01-16,2021-08-27,1
guardian_156db98654,The Guardian,2014,IPCC,Greater Manchester police charged over shooting of Anthony Grainger,https://www.theguardian.com/uk-news/2014/jan/16/greater-manchester-police-health-safety-unarmed-anthony-grainger,UK news,2014-01-16,2017-11-30,2
guardian_4755fcf7c4,The Guardian,2014,"""sea level rise""",Will Barack Obama's climate agenda survive a Republican pushback?,https://www.theguardian.com/environment/2014/jan/16/will-barack-obamas-climate-agenda-survive-a-republican-pushback,Environment,2014-01-16,2021-08-25,1
guardian_6958406be8,The Guardian,2014,IPCC,Police watchdog investigates in wake of Mark Duggan inquest,https://www.theguardian.com/uk-news/2014/jan/17/police-watchdog-mark-duggan-inquest-ipcc,UK news,2014-01-17,2017-09-20,1
guardian_a6b45926c0,The Guardian,2014,"""global temperature""",CSIRO scientists say warmer world wager with Maurice Newman a safe bet,https://www.theguardian.com/environment/2014/jan/17/csiro-scientists-say-warmer-world-wager-with-maurice-newman-a-safe-bet,Environment,2014-01-17,2021-08-25,1
guardian_43c3c42ddc,The Guardian,2014,IPCC,CO2 emissions are being 'outsourced' by rich countries to rising economies,https://www.theguardian.com/environment/2014/jan/19/co2-emissions-outsourced-rich-nations-rising-economies,Environment,2014-01-19,2021-08-25,1
guardian_2e9f93cc4f,The Guardian,2014,IPCC,Refugee murdered by mistaken vigilante: police role to be investigated,https://www.theguardian.com/politics/2014/jan/20/ipcc-iranian-refugee-murdered-by-vigilante,UK news,2014-01-20,2018-01-11,1
