article_id,newspaper,ipcc_window,search_term,article_title,article_url,published_date,image_index,image_url,local_image_path,caption,credit
guardian_b36f42dcaf,The Guardian,2013,"""global temperature""",Zombie climate sceptic theories survive only in newspapers and on TV,https://www.theguardian.com/environment/planet-oz/2013/may/17/zombie-climate-sceptic-theories-newspapers-tv,2013-05-17,1,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2013/5/16/1368700916681/sks_abstracts.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-05-17_guardian_b36f42dcaf_img01.jpg,The numbers of scientific papers rejecting anthropogenic global warming remains miniscule for 20 years,
guardian_008d47c681,The Guardian,2013,IPCC,Man killed in deadly terror attack in London street,https://www.theguardian.com/uk/2013/may/22/police-respond-serious-incident-woolwich,2013-05-22,1,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/maps_and_graphs/2013/5/22/1369242290711/Woolwich-map-001.png?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-05-22_guardian_008d47c681_img01.png,Map showing the exact location of the incident,
guardian_1d9d5bad4c,The Guardian,2013,IPCC,Andrew Neil - these are your climate errors on BBC Sunday Politics,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2013/jul/17/climate-change-scepticism-andrew-neil-ed-davey,2013-07-17,1,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2013/7/17/1374020042661/SkepticView450.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-07-17_guardian_1d9d5bad4c_img01.jpg,Source: Climate Nexus,Climate Nexus
guardian_56c78de709,The Guardian,2013,IPCC,"Climate change slowdown is due to warming of deep oceans, say scientists",https://www.theguardian.com/science/2013/jul/22/climate-change-slowdown-warming-oceans,2013-07-22,1,https://i.guim.co.uk/img/static/sys-images/Environment/Pix/columnists/2010/2/4/1265280195608/Michael-Manns-graph-of-te-002.jpg?width=465&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-07-22_guardian_56c78de709_img01.jpg,Temperature in the northern hemisphere since 1000 CE. Natural variation in the climate cycle does not contradict climate scientists' predictions. Graph: IPCC report,
guardian_d950a68ea3,The Guardian,2013,"""global temperature""",The climate change policy discussion I wish Andrew Neil would have on BBC,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2013/jul/23/climate-change-andrew-neil-bbc-errors-take2,2013-07-23,1,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2013/7/23/1374538609091/bau_future_warming450.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-07-23_guardian_d950a68ea3_img01.jpg,"This graph shows that even at the lowest range of climate sensitivity, future global warming will take us well beyond any temperature experienced during civilized human history. The blue line represents reconstructed temperature. The red line represents measured and projected global surface temperature. The red dots show the projected warming in the year 2100 for three different climate sensitivities (high sensitivity 4.5°C, most likely sensitivity 3°C, low sensitivity 1.5°C).",
guardian_622176361c,The Guardian,2013,"""sea level rise""",Now available: a guide to the IPCC's new RCP emissions pathways,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2013/aug/30/climate-change-rcp-handy-summary,2013-08-30,1,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2013/8/30/1377832808485/emissions-concentration-rcp.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-08-30_guardian_622176361c_img01.jpg,"Emissions of carbon dioxide across the RCPs (left), and trends in concentrations of carbon dioxide (right). Grey area indicates the 98th and 90th percentiles (light/dark grey) of the literature. The dotted lines indicate four of the SRES marker scenarios. (Graphs from van Vuuren et.al. (2011).",
guardian_3c4c1d71dc,The Guardian,2013,"""global temperature""",The Pacific Ocean fills in another piece of the global warming puzzle,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2013/sep/03/global-warming-pacific-ocean-puzzle-piece,2013-09-03,1,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2013/8/30/1377826909810/Nature1a_450.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-09-03_guardian_3c4c1d71dc_img01.jpg,This graph shows the good match between temperatures in the Nature paper model (in red) and measured temperatures (in black). Just accounting for human and solar climate influences doesn't reproduce the recent surface warming slowdown (in purple).,
guardian_4779145467,The Guardian,2013,"""carbon budget""",IPCC: 30 years to climate calamity if we carry on blowing the carbon budget,https://www.theguardian.com/environment/2013/sep/27/ipcc-world-dangerous-climate-change,2013-09-27,1,https://i.guim.co.uk/img/static/sys-images/Guardian/About/General/2013/9/27/1380321841299/Climate-graphic-001.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-09-27_guardian_4779145467_img01.jpg,Credit: Guardian graphics,Guardian graphics
guardian_4779145467,The Guardian,2013,"""carbon budget""",IPCC: 30 years to climate calamity if we carry on blowing the carbon budget,https://www.theguardian.com/environment/2013/sep/27/ipcc-world-dangerous-climate-change,2013-09-27,2,https://i.guim.co.uk/img/static/sys-images/Guardian/About/General/2013/9/27/1380321917468/Sea-levels-graphic-001.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-09-27_guardian_4779145467_img02.jpg,Credit: Guardian graphics,Guardian graphics
guardian_d76900f636,The Guardian,2013,IPCC,Conservative media outlets found guilty of biased global warming coverage,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2013/oct/11/climate-change-political-media-ipcc-coverage,2013-10-11,1,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2013/10/10/1381366627591/ipcc-chart1450.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-10-11_guardian_d76900f636_img01.jpg,"IPCC media coverage vs. the 97 percent expert consensus on human-caused global warming, courtesy of Media Matters.",
guardian_d76900f636,The Guardian,2013,IPCC,Conservative media outlets found guilty of biased global warming coverage,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2013/oct/11/climate-change-political-media-ipcc-coverage,2013-10-11,2,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2013/10/10/1381367117369/ipcc-chart2_450.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-10-11_guardian_d76900f636_img02.jpg,"Disproportionate climate contrarian coverage on Fox News as compared to the 97 percent expert consensus on human-caused global warming, courtesy of Media Matters.",
guardian_d76900f636,The Guardian,2013,IPCC,Conservative media outlets found guilty of biased global warming coverage,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2013/oct/11/climate-change-political-media-ipcc-coverage,2013-10-11,3,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2013/10/10/1381366539993/ipcc-chart3_450.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-10-11_guardian_d76900f636_img03.jpg,"Background of guests who accept and reject human-caused global warming in IPCC media stories, courtesy of Media Matters.",
guardian_1b0f7ded44,The Guardian,2013,IPCC,Fox News defends global warming false balance by denying the 97% consensus,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2013/oct/23/climate-change-climate-change-scepticism,2013-10-23,1,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2013/10/19/1382199101019/ipcc-chart2_450.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-10-23_guardian_1b0f7ded44_img01.jpg,,
guardian_48f2206ab4,The Guardian,2013,"""sea level rise""",Will extreme weather like super typhoon Haiyan become the new norm?,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2013/nov/20/climate-change-haiyan-hurricanes,2013-11-20,1,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2013/11/19/1384823741150/StrongestHurricanes.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-11-20_guardian_48f2206ab4_img01.jpg,The 13 strongest tropical cyclones at landfall. 6 have happened since 1998. Source: wunderground.com,wunderground.com
guardian_adad640767,The Guardian,2013,"""global temperature""",Warsaw's widening climate chasm could lead to 4C warming,https://www.theguardian.com/environment/planet-oz/2013/nov/21/warsaw-climate-change-conference-global-warming,2013-11-21,1,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2013/11/21/1384992565522/coal_use.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-11-21_guardian_adad640767_img01.jpg,Emissions from carbon dioxide have been rising: Courtesy Global Carbon Project,
guardian_adad640767,The Guardian,2013,"""global temperature""",Warsaw's widening climate chasm could lead to 4C warming,https://www.theguardian.com/environment/planet-oz/2013/nov/21/warsaw-climate-change-conference-global-warming,2013-11-21,2,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2013/11/21/1384992694379/emissions.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-11-21_guardian_adad640767_img02.jpg,Carbon dioxide emissions continue to rise: Chart courtesy Global Carbon Project,
guardian_f2aa501b2f,The Guardian,2013,"""climate change""",Is Bjorn Lomborg right to say fossil fuels are what poor countries need?,https://www.theguardian.com/environment/planet-oz/2013/dec/06/bjorn-lomborg-climate-change-poor-countries-need-fossil-fuels,2013-12-06,1,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2013/12/6/1386306926189/jones_model_hiatus.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-12-06_guardian_f2aa501b2f_img01.jpg,Max Planck Institute MPI A2 Scenario Run 5. All step changes are statistically significant. Image: Roger Jones,
guardian_4aa60a0deb,The Guardian,2013,"""climate change""",Republicans in Congress got the testimony they wanted to keep playing climate Russian roulette,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2013/dec/26/republicans-congress-climate-change-testimony-risk,2013-12-26,1,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2013/12/21/1387592233117/WSJ_waning_war450.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-12-26_guardian_4aa60a0deb_img01.jpg,Decreasing worldwide battle deaths over time. Image source: Wall Street Journal,Wall Street Journal
guardian_fbf3eaa997,The Guardian,2014,"""global temperature""",What will happen to global warming when we get the next big El Niño?,https://www.theguardian.com/environment/planet-oz/2014/jan/23/climate-change-global-warming-2013-warmest-years-el-nino,2014-01-23,1,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2014/1/23/1390452859064/gisstemp_plot_map.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2014-01-23_guardian_fbf3eaa997_img01.jpg,Graph showing how temperatures continued to rise even when El Niño and La Niña events skew temperatures warmer or colder in any one year. Image: NASA,
guardian_554c07c607,The Guardian,2014,"""global temperature""",The 'pause' in global warming is not even a thing,https://www.theguardian.com/environment/planet-oz/2014/feb/12/global-warming-fake-pause-hiatus-climate-change,2014-02-12,1,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2014/2/12/1392174049056/sea_level_guardian.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2014-02-12_guardian_554c07c607_img01.jpg,"Global sea level continues to rise, driven by melting ice sheets, glaciers and warming and expanding oceans. Image: CSIRO",
