article_id,newspaper,year_window,search_term,title,article_url,section,published_date,updated_date,image_count
6b759bc5-e3df-50be-b246-3050045ca6f8,The New York Times,2013,"""global temperature""",Not Even Close: 2012 Was Hottest Ever in U.S.,https://www.nytimes.com/2013/01/09/science/earth/2012-was-hottest-year-ever-in-us.html,Science,2013-01-08,,1
41c9a4a5-9b94-5459-a3e4-908e3fd64618,The New York Times,2013,"""global temperature""",2012: The Year of Extreme Weather,https://rendezvous.blogs.nytimes.com/2013/01/14/2012-the-year-of-extreme-weather/,World,2013-01-14,,2
2611bf1d-33bd-5ce8-be27-0f98a2f14291,The New York Times,2013,"""global temperature""",How High Could the Tide Go?,https://www.nytimes.com/2013/01/22/science/earth/seeking-clues-about-sea-level-from-fossil-beaches.html,Science,2013-01-22,,2
4bf50f5f-77e5-50c3-8601-da84ad2b7609,The New York Times,2013,IPCC,A Closer Look at Moderating Views of Climate Sensitivity,https://dotearth.blogs.nytimes.com/2013/02/04/a-closer-look-at-moderating-views-of-climate-sensitivity/,Opinion,2013-02-04,,1
37cda99e-9fc7-5fc5-b70b-4a7956652a15,The New York Times,2013,"""sea level rise""",The Ignorance Caucus,https://www.nytimes.com/2013/02/11/opinion/krugman-the-ignorance-caucus.html,Opinion,2013-02-11,,2
ace2629d-186c-53e4-a23f-9afe05aff7a0,The New York Times,2013,"""global temperature""",Study of Ice Age Bolsters Carbon and Warming Link,https://www.nytimes.com/2013/03/01/science/earth/at-ice-age-end-a-smaller-gap-in-warming-and-carbon-dioxide.html,Science,2013-02-28,,2
cd0894fa-4e2c-5ca7-aba9-b5b8a89e029d,The New York Times,2013,"""global temperature""","Global Temperatures Highest in 4,000 Years",https://www.nytimes.com/2013/03/08/science/earth/global-temperatures-highest-in-4000-years-study-says.html,Science,2013-03-08,,2
c21377ed-87f3-5562-b735-0f8827a4fa25,The New York Times,2013,"""sea level rise""",Aquatic Academy Isn’t Kid Stuff,https://www.nytimes.com/2013/03/19/education/aquatic-academy-schools-over-50-age-group.html,Education,2013-03-18,,2
065779e9-89c0-58fe-80e6-1bb98365fe78,The New York Times,2013,"""net zero""",The Science of Moving Science Across Town,https://www.nytimes.com/2013/03/21/arts/artsspecial/how-the-exploratorium-in-san-francisco-moved-across-town.html,Arts,2013-03-20,,2
512d23b7-c990-5283-a963-a94b8a9022f1,The New York Times,2013,"""net zero""",Well-Intentioned Behemoth in the Bahamas,https://www.nytimes.com/2013/03/22/business/energy-environment/well-intentioned-behemoth-in-the-bahamas.html,Business,2013-03-21,,2
6596bc9f-cf49-5320-a296-123d4058583f,The New York Times,2013,"""global temperature""",Life After Oil and Gas,https://www.nytimes.com/2013/03/24/sunday-review/life-after-oil-and-gas.html,Sunday Review,2013-03-23,,2
5d8d009b-9619-51a7-838e-896c0557b74e,The New York Times,2013,"""sea level rise""",Cooling on Warming,https://www.nytimes.com/2013/03/28/opinion/collins-cooling-on-warming.html,Opinion,2013-03-28,,2
a7bca25a-064b-5e08-91da-9ddf27e83cd8,The New York Times,2013,"""global temperature""","Fresh Thoughts from Authors of a Paper on 11,300 Years of Global Temperature Changes",https://dotearth.blogs.nytimes.com/2013/03/31/fresh-thoughts-from-authors-of-a-paper-on-11300-years-of-global-temperature-changes/,Opinion,2013-03-31,,1
