article_id,newspaper,year_window,search_term,title,article_url,section,published_date,updated_date,image_count
bbbef2c4-39c9-5207-af9a-73974e013e4b,The New York Times,2017,"""global temperature""",Time to Grill Rex Tillerson on Climate Change,https://www.nytimes.com/2017/01/10/opinion/time-to-grill-rex-tillerson-on-climate-change.html,Opinion,2017-01-10,,2
3f32674d-841b-5567-8372-d626c5fac098,The New York Times,2017,"""global temperature""","On Climate Change, Even States in Forefront Are Falling Short",https://www.nytimes.com/2017/01/17/business/economy/climate-change-california-new-york.html,Business,2017-01-17,,2
487b07bc-111b-5813-9afd-24c7cf621f42,The New York Times,2017,"""global temperature""",Earth Sets a Temperature Record for the Third Straight Year,https://www.nytimes.com/2017/01/18/science/earth-highest-temperature-record.html,Climate,2017-01-18,,2
3e8e16a1-8e99-5337-b77c-bfd73be65ac6,The New York Times,2017,IPCC,Britain Opens Investigation After Officers Use Stun Gun on Race Relations Worker,https://www.nytimes.com/2017/01/20/world/europe/black-race-relations-worker-stunned-taser-by-police-in-britain.html,World,2017-01-20,,2
bb808d0b-7bf8-5757-807d-df92f67099b5,The New York Times,2017,"""net zero""",Tony Blair’s Lesson for President Trump,https://www.nytimes.com/2017/03/01/opinion/tony-blairs-lesson-for-president-trump.html,Opinion,2017-03-01,,2
b4491b0c-994a-581a-a2aa-0ffd3135b162,The New York Times,2017,"""global temperature""",Why the World Economy Has to Be Carbon Free by 2050,https://www.nytimes.com/2017/03/23/opinion/why-the-world-economy-has-to-be-carbon-free-by-2050.html,Opinion,2017-03-23,,2
b3cbc4ae-45d9-5fcb-827e-758d54063ad5,The New York Times,2017,"""global temperature""",Is It O.K. to Tinker With the Environment to Fight Climate Change?,https://www.nytimes.com/2017/04/18/magazine/is-it-ok-to-engineer-the-environment-to-fight-climate-change.html,Magazine,2017-04-18,,2
76b6f6e7-7be7-50f0-b0e5-8cfaebbddc70,The New York Times,2017,"""net zero""",California’s Deluge of Rain Washes Away a Homeless Colony,https://www.nytimes.com/2017/04/21/us/californias-deluge-of-rain-washes-away-a-homeless-colony.html,U.S.,2017-04-21,,2
aa09416b-1166-59f3-854d-563091c888a3,The New York Times,2017,"""carbon budget""",Health Leaders Must Focus on the Threats From Factory Farms,https://www.nytimes.com/2017/05/21/opinion/who-factory-farming-meat-industry-.html,Opinion,2017-05-21,,2
74ef2fc8-6ce4-5bad-b0c0-de6d7963d5d3,The New York Times,2017,"""global temperature""",Can the Paris Climate Deal Survive a Trump-Style Renegotiation?,https://www.nytimes.com/2017/05/26/climate/can-the-paris-climate-deal-survive-a-trump-style-renegotiation.html,Climate,2017-05-26,,2
35569326-a075-5861-a2f5-399217798102,The New York Times,2017,"""net zero""",Cornell’s Climate-Conscious Urban Campus Arises,https://www.nytimes.com/2017/05/29/business/energy-environment/cornells-climate-conscious-urban-campus-arises.html,Business,2017-05-29,,2
1e12dc1c-3d04-57e7-8ecc-dad6ebdb0213,The New York Times,2017,"""global temperature""",Trump’s Stupid and Reckless Climate Decision,https://www.nytimes.com/2017/06/01/opinion/trump-paris-climate-accord.html,Opinion,2017-06-01,,2
75a5c9e8-f4cd-5e0e-87cb-65a0c24a85cb,The New York Times,2017,"""carbon budget""","China’s Role in Climate Change, and Possibly in Fighting It",https://www.nytimes.com/2017/06/02/world/asia/chinas-role-in-climate-change-and-possibly-in-fighting-it.html,World,2017-06-02,,2
a3d1d31e-4922-5828-a101-d18b77fc0835,The New York Times,2017,"""global temperature""","In India, Slight Rise in Temperatures Is Tied to Heat Wave Deaths",https://www.nytimes.com/2017/06/08/world/asia/india-heat-deaths-climate.html,World,2017-06-08,,2
c72cc6a2-df11-57a5-b280-fa8f092c3662,The New York Times,2017,IPCC,A Sense of Duty to Teach Climate Change,https://www.nytimes.com/2017/06/28/us/teaching-students-about-climate-change.html,U.S.,2017-06-28,,2
0368d02c-3248-5e12-b91b-c70573fe5f26,The New York Times,2017,"""net zero""","Liu Xiaobo, George Pell, Kashmir: Your Tuesday Briefing",https://www.nytimes.com/2017/07/10/briefing/liu-xiaobo-george-pell-dalian-wanda.html,Briefing,2017-07-10,,2
7b0b7e2b-2ce7-5a6a-a192-f73c98d25e47,The New York Times,2017,"""net zero""","Donald Trump Jr., Mosul, Penn Station: Your Monday Briefing",https://www.nytimes.com/2017/07/10/briefing/donald-trump-jr-mosul-penn-station.html,Briefing,2017-07-10,,2
4cd3d8ed-a279-532d-be03-829966fe1e08,The New York Times,2017,"""global temperature""","Tony de Brum, Voice of Pacific Islands on Climate Change, Dies at 72",https://www.nytimes.com/2017/08/22/world/tony-de-brum-dead-climate-change-advocate.html,World,2017-08-22,,2
772375fa-a9a3-51ab-9f66-8396981c7330,The New York Times,2017,"""global temperature""","Corrections: August 26, 2017",https://www.nytimes.com/2017/08/25/pageoneplus/corrections-august-26-2017.html,Corrections,2017-08-26,,0
74fa5494-f18d-54ef-81f3-e71af4e46954,The New York Times,2017,"""sea level rise""","In Hurricane Harvey’s Wake, We Need a Green ‘New Deal’",https://www.nytimes.com/2017/08/31/opinion/in-hurricane-harveys-wake-we-need-a-green-new-deal.html,Opinion,2017-08-31,,2
f30e4ca2-ef5b-5c5d-a6a6-fe077ff562f6,The New York Times,2017,"""sea level rise""",How Federal Flood Insurance Puts Homes at Risk,https://www.nytimes.com/2017/08/31/opinion/flood-insurance-program-.html,Opinion,2017-09-01,,2
270eb360-9474-5ef9-8d94-b14676cf90ba,The New York Times,2017,"""sea level rise""",What Climate Scientists Want You to See in the Floodwaters,https://www.nytimes.com/2017/09/02/opinion/climate-hurricanes-flooding-harvey.html,Opinion,2017-09-02,,2
c41f0883-cf35-54fb-a017-512b799e5cd5,The New York Times,2017,"""sea level rise""","After Andrew, Florida Changed Its Approach to Hurricanes",https://www.nytimes.com/2017/09/06/us/hurricane-andrew-miami.html,U.S.,2017-09-06,,2
eb8be24b-de6d-5be5-ad8b-897ccda3c0aa,The New York Times,2017,"""sea level rise""","Why Hurricane Irma Could Hurt, a Lot: Much Lies in Harm’s Way",https://www.nytimes.com/2017/09/07/climate/florida-hurricane-irma-damage.html,Climate,2017-09-07,,2
b7dbbd7b-c7d1-5afd-acfd-8df822b24658,The New York Times,2017,"""sea level rise""","Irma Will Test Florida’s Infrastructure, From Dikes to Sewage Plants",https://www.nytimes.com/2017/09/09/us/irma-florida-infrastructure-okeechobee.html,U.S.,2017-09-09,,2
f05adce8-cd60-522b-bf65-2b515695bb58,The New York Times,2017,"""sea level rise""",Weather Channel Goes Into Overdrive Covering Back-to-Back Hurricanes,https://www.nytimes.com/2017/09/09/business/media/weather-channel-hurricane-irma.html,Business,2017-09-09,,2
869bec86-5832-56a4-913e-b65daeceadb2,The New York Times,2017,"""sea level rise""",The Monster Surge That Wasn’t: Why Irma Caused Less Flooding Than Expected,https://www.nytimes.com/2017/09/11/us/storm-surge-irma-flooding.html,U.S.,2017-09-11,,2
36f72096-1406-50a9-bace-417995753a3c,The New York Times,2017,"""sea level rise""",It’s the Right Time to Talk About Climate Change,https://www.nytimes.com/2017/09/12/opinion/trump-science-climate-irma.html,Opinion,2017-09-12,,2
c5bf4e85-0074-5136-af3d-9bae862648ec,The New York Times,2017,"""sea level rise""",What Could We Lose if a NASA Climate Mission Goes Dark?,https://www.nytimes.com/2017/09/12/magazine/what-could-we-lose-if-a-nasa-mission-goes-dark.html,Magazine,2017-09-12,,2
3596b79d-0743-57a5-9755-e802d747041b,The New York Times,2017,"""net zero""","High Tech and High Design, Cornell’s Roosevelt Island Campus Opens",https://www.nytimes.com/2017/09/13/nyregion/cornell-high-tech-opens-roosevelt-island.html,New York,2017-09-13,,2
111351cf-f4fc-5f6a-b077-bb6e72451ba0,The New York Times,2017,"""sea level rise""","After Irma, a Grim Sense of Déjà Vu in St. Augustine",https://www.nytimes.com/2017/09/13/us/st-augustine-irma-flood.html,U.S.,2017-09-14,,2
734c19bd-7c3e-54b6-b3fe-7c8a0722e60b,The New York Times,2017,"""sea level rise""","Harrowing Storms May Move Climate Debate, if Not G.O.P. Leaders",https://www.nytimes.com/2017/09/14/us/irma-harvey-climate-politics.html,U.S.,2017-09-14,,2
082b677a-b0b1-5b52-8640-bb2e2955e2b7,The New York Times,2017,"""global temperature""",The Real Unknown of Climate Change: Our Behavior,https://www.nytimes.com/2017/09/18/climate/climate-change-denial.html,Climate,2017-09-18,,2
