article_id,newspaper,year_window,search_term,article_title,article_url,published_date,updated_date,image_index,image_url,local_image_path,caption,credit,positive_chart_signal_count,positive_chart_signals,negative_photo_signal_count,negative_photo_signals,review_priority,auto_review_label
671dd217-087c-5d3b-b18d-5382ec22ab90,The New York Times,2015,"""sea level rise""",National Geographic Explores Bill Nye’s Climate Change Denial – and Arnold Schwarzenegger’s Analysis,https://dotearth.blogs.nytimes.com/2015/10/31/now-its-bill-nye-with-climate-change-denial-and-arnold-schwarzenegger-to-the-rescue/,2015-10-31,,1,https://static01.nyt.com/images/2015/10/31/blogs/dotnye2/dotnye2-articleLarge.jpg,../Scripts/output/nytimes/nytimes_images/nytimes_2015-10-31_671dd217-087c-5d3b-b18d-5382ec22ab90_img01.jpg,,,2,graph|graphic,0,,0,likely_visualization
671dd217-087c-5d3b-b18d-5382ec22ab90,The New York Times,2015,"""sea level rise""",National Geographic Explores Bill Nye’s Climate Change Denial – and Arnold Schwarzenegger’s Analysis,https://dotearth.blogs.nytimes.com/2015/10/31/now-its-bill-nye-with-climate-change-denial-and-arnold-schwarzenegger-to-the-rescue/,2015-10-31,,2,https://static01.nyt.com/images/2015/10/31/blogs/dotnye2/dotnye2-thumbStandard.jpg,../Scripts/output/nytimes/nytimes_images/nytimes_2015-10-31_671dd217-087c-5d3b-b18d-5382ec22ab90_img02.jpg,,,2,graph|graphic,0,,0,likely_visualization
6bda2b3a-431c-5d8b-9101-8515c5358cbb,The New York Times,2015,"""carbon budget""",How to Manage Fire to Cut Pollution and Slow Climate Change,https://dotearth.blogs.nytimes.com/2015/10/13/how-to-manage-fire-to-cut-pollution-and-slow-climate-change/,2015-10-13,,1,https://static01.nyt.com/images/2015/10/12/blogs/dotglobalfiremap/dotglobalfiremap-articleLarge.jpg,../Scripts/output/nytimes/nytimes_images/nytimes_2015-10-13_6bda2b3a-431c-5d8b-9101-8515c5358cbb_img01.jpg,,,1,map,0,,0,likely_visualization
6bda2b3a-431c-5d8b-9101-8515c5358cbb,The New York Times,2015,"""carbon budget""",How to Manage Fire to Cut Pollution and Slow Climate Change,https://dotearth.blogs.nytimes.com/2015/10/13/how-to-manage-fire-to-cut-pollution-and-slow-climate-change/,2015-10-13,,2,https://static01.nyt.com/images/2015/10/12/blogs/dotglobalfiremap/dotglobalfiremap-thumbStandard.jpg,../Scripts/output/nytimes/nytimes_images/nytimes_2015-10-13_6bda2b3a-431c-5d8b-9101-8515c5358cbb_img02.jpg,,,1,map,0,,0,likely_visualization
bc750e5c-5b15-5b34-be59-8f91fbf8f415,The New York Times,2015,"""climate change""",The Juicy Subplots of 2016,https://www.nytimes.com/2015/12/30/opinion/the-juicy-subplots-of-2016.html,2015-12-30,,1,https://static01.nyt.com/images/2014/11/01/opinion/bruni-circular/bruni-circular-articleLarge-v2.jpg,../Scripts/output/nytimes/nytimes_images/nytimes_2015-12-30_bc750e5c-5b15-5b34-be59-8f91fbf8f415_img01.jpg,,,1,plot,0,,0,likely_visualization
bc750e5c-5b15-5b34-be59-8f91fbf8f415,The New York Times,2015,"""climate change""",The Juicy Subplots of 2016,https://www.nytimes.com/2015/12/30/opinion/the-juicy-subplots-of-2016.html,2015-12-30,,2,https://static01.nyt.com/images/2014/11/01/opinion/bruni-circular/bruni-circular-thumbStandard-v5.jpg,../Scripts/output/nytimes/nytimes_images/nytimes_2015-12-30_bc750e5c-5b15-5b34-be59-8f91fbf8f415_img02.jpg,,,1,plot,0,,0,likely_visualization
23814194-cc9c-5d2f-b8d6-cab4f2fc6230,The New York Times,2015,"""global temperature""","2014 Breaks Heat Record, Challenging Global Warming Skeptics",https://www.nytimes.com/2015/01/17/science/earth/2014-was-hottest-year-on-record-surpassing-2010.html,2015-01-16,,1,https://static01.nyt.com/images/2015/01/17/science/earth/hottest-year-1421414846265/hottest-year-1421414846265-articleLarge-v2.png,../Scripts/output/nytimes/nytimes_images/nytimes_2015-01-16_23814194-cc9c-5d2f-b8d6-cab4f2fc6230_img01.png,,,0,,0,,1,broad_candidate
23814194-cc9c-5d2f-b8d6-cab4f2fc6230,The New York Times,2015,"""global temperature""","2014 Breaks Heat Record, Challenging Global Warming Skeptics",https://www.nytimes.com/2015/01/17/science/earth/2014-was-hottest-year-on-record-surpassing-2010.html,2015-01-16,,2,https://static01.nyt.com/images/2015/01/17/science/earth/hottest-year-1421414846265/hottest-year-1421414846265-thumbStandard-v2.png,../Scripts/output/nytimes/nytimes_images/nytimes_2015-01-16_23814194-cc9c-5d2f-b8d6-cab4f2fc6230_img02.png,,,0,,0,,1,broad_candidate
38f5b340-da76-518e-aa31-14bea86a8c36,The New York Times,2015,"""global temperature""","A Closer Look at the Global Warming Trend, Record Hot 2014 and What’s Ahead",https://dotearth.blogs.nytimes.com/2015/01/16/a-closer-look-at-the-global-warming-trend-record-hot-2014-and-whats-ahead/,2015-01-16,,1,https://static01.nyt.com/images/2015/01/16/blogs/dotwarmgiss/dotwarmgiss-articleLarge.jpg,../Scripts/output/nytimes/nytimes_images/nytimes_2015-01-16_38f5b340-da76-518e-aa31-14bea86a8c36_img01.jpg,,,0,,0,,1,broad_candidate
38f5b340-da76-518e-aa31-14bea86a8c36,The New York Times,2015,"""global temperature""","A Closer Look at the Global Warming Trend, Record Hot 2014 and What’s Ahead",https://dotearth.blogs.nytimes.com/2015/01/16/a-closer-look-at-the-global-warming-trend-record-hot-2014-and-whats-ahead/,2015-01-16,,2,https://static01.nyt.com/images/2015/01/16/blogs/dotwarmgiss/dotwarmgiss-thumbStandard.jpg,../Scripts/output/nytimes/nytimes_images/nytimes_2015-01-16_38f5b340-da76-518e-aa31-14bea86a8c36_img02.jpg,,,0,,0,,1,broad_candidate
db1800d6-42c5-58c2-b301-368ee01871cc,The New York Times,2015,"""net zero""",At Home in the Out-Back,https://www.nytimes.com/2015/01/22/garden/sustainable-living-in-moms-backyard.html,2015-01-21,,1,https://static01.nyt.com/images/2015/01/22/garden/20150122-LOCATION-slide-KTCS/20150122-LOCATION-slide-KTCS-articleLarge.jpg,../Scripts/output/nytimes/nytimes_images/nytimes_2015-01-21_db1800d6-42c5-58c2-b301-368ee01871cc_img01.jpg,,,0,,0,,1,broad_candidate
db1800d6-42c5-58c2-b301-368ee01871cc,The New York Times,2015,"""net zero""",At Home in the Out-Back,https://www.nytimes.com/2015/01/22/garden/sustainable-living-in-moms-backyard.html,2015-01-21,,2,https://static01.nyt.com/images/2015/01/22/garden/20150122-LOCATION-slide-KTCS/20150122-LOCATION-slide-KTCS-thumbStandard.jpg,../Scripts/output/nytimes/nytimes_images/nytimes_2015-01-21_db1800d6-42c5-58c2-b301-368ee01871cc_img02.jpg,,,0,,0,,1,broad_candidate
f91bdd97-9a38-5464-85b4-4da132e2feac,The New York Times,2015,"""global temperature""",How ‘Warmest Ever’ Headlines and Debates Can Obscure What Matters About Climate Change,https://dotearth.blogs.nytimes.com/2015/01/21/how-warmest-ever-headlines-and-debates-can-obscure-what-matters-about-climate-change/,2015-01-21,,1,https://static01.nyt.com/images/2015/01/20/blogs/warmestimates/warmestimates-articleLarge.jpg,../Scripts/output/nytimes/nytimes_images/nytimes_2015-01-21_f91bdd97-9a38-5464-85b4-4da132e2feac_img01.jpg,,,0,,0,,1,broad_candidate
