action,reason,source_path,kept_path,date,image_index,format,width,height
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2013-09-23_c9w15nggj58o_img02.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2013-09-23_c9w15nggj58o_img02.png,2013-09-23,2,PNG,1920,1920
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2013-09-23_c9w15nggj58o_img03.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2013-09-23_c9w15nggj58o_img03.png,2013-09-23,3,PNG,1920,1650
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2013-09-23_c9w15nggj58o_img06.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2013-09-23_c9w15nggj58o_img06.png,2013-09-23,6,PNG,1920,1800
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2016-01-20_science-environment-35354579_img01.jpg,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2016-01-20_science-environment-35354579_img01.jpg,2016-01-20,1,JPEG,976,549
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2016-05-16_science-environment-36303046_img01.jpg,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2016-05-16_science-environment-36303046_img01.jpg,2016-05-16,1,JPEG,640,410
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2017-12-30_cz913gxlw3jo_img02.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2017-12-30_cz913gxlw3jo_img02.png,2017-12-30,2,PNG,1280,990
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2017-12-30_cz913gxlw3jo_img05.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2017-12-30_cz913gxlw3jo_img05.png,2017-12-30,5,PNG,1280,1280
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2018-10-01_science-environment-45653099_img06.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2018-10-01_science-environment-45653099_img06.png,2018-10-01,6,PNG,1294,1072
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2018-10-08_science-environment-45784892_img03.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2018-10-08_science-environment-45784892_img03.png,2018-10-08,3,PNG,640,640
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2019-10-30_science-environment-50236882_img02.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2019-10-30_science-environment-50236882_img02.png,2019-10-30,2,PNG,640,561
