article_id,newspaper,year_window,search_term,title,article_url,section,published_date,updated_date,image_count
guardian_585a0ba993,The Guardian,2016,"""1.5C""",What does the Paris agreement mean for the world's other 8 million species?,https://www.theguardian.com/environment/radical-conservation/2016/jan/06/-paris-agreement-biodiversity-coral-reefs-forests,Environment,2016-01-06,2021-10-29,6
guardian_b11b300520,The Guardian,2016,IPCC,Sian Blake: boyfriend of missing actor may have fled to Ghana,https://www.theguardian.com/uk-news/2016/jan/06/sian-blake-eastenders-boyfriend-arthur-simpson-kent-may-have-fled-ghana,UK news,2016-01-06,2017-09-20,3
guardian_bec6484649,The Guardian,2016,IPCC,"Girl, 12, suffers serious head injuries after being hit by police car",https://www.theguardian.com/uk-news/2016/jan/06/girl-12-serious-head-injuries-hit-police-car-cornwall,UK news,2016-01-06,2016-01-07,1
guardian_cc6344faff,The Guardian,2016,IPCC,Met police handling of Sian Blake case referred to watchdog,https://www.theguardian.com/uk-news/2016/jan/06/met-police-handling-of-sian-blake-case-referred-to-watchdog,UK news,2016-01-06,2017-11-29,2
guardian_dfcbd6bb53,The Guardian,2016,IPCC,"Era of climate science denial is not over, study finds",https://www.theguardian.com/environment/planet-oz/2016/jan/07/era-of-climate-science-denial-is-not-over-study-finds,Environment,2016-01-07,2021-08-25,2
guardian_a9e64ceb4c,The Guardian,2016,IPCC,Police watchdog launches investigation into handling of Sian Blake murder case,https://www.theguardian.com/uk-news/2016/jan/08/police-watchdog-launches-investigation-into-handling-of-sian-blake-case,UK news,2016-01-08,2017-11-29,1
guardian_acc7262725,The Guardian,2016,IPCC,Ghanaian witnesses describe arrest of Sian Blake murder suspect,https://www.theguardian.com/uk-news/2016/jan/11/arthur-simpson-kent-ghanaian-locals-describe-arrest-of-sian-blake-suspect,UK news,2016-01-11,2017-11-29,4
guardian_2ab8d6d02c,The Guardian,2016,IPCC,NASA study fixes error in low contrarian climate sensitivity estimates,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2016/jan/12/nasa-study-fixes-error-in-low-contrarian-climate-sensitivity-estimates,Environment,2016-01-12,2021-08-25,1
guardian_55cdb2e821,The Guardian,2016,"""1.5C""",Rapid switch to renewable energy can put Paris climate goals within reach,https://www.theguardian.com/environment/2016/jan/16/rapid-switch-to-renewable-energy-can-put-paris-climate-goals-within-reach,Environment,2016-01-16,2021-08-25,1
guardian_1437a9eba9,The Guardian,2016,"""1.5C""",How big cities are finding innovative ways to nudge people to ditch cars,https://www.theguardian.com/sustainable-business/2016/jan/19/emissions-cars-united-nations-transport-public-global-warming,Guardian Sustainable Business,2016-01-19,2021-08-25,1
guardian_86fb6af351,The Guardian,2016,IPCC,"Lord Janner escaped prosecution due to CPS and police failings, report finds",https://www.theguardian.com/uk-news/2016/jan/19/lord-janner-escaped-prosecution-due-to-cps-and-police-failings-report-finds,Law,2016-01-19,2017-11-29,2
guardian_ca4b64f63c,The Guardian,2016,IPCC,"Poppi Worthington death: toddler was sexually assaulted by father, says judge",https://www.theguardian.com/uk-news/2016/jan/19/poppi-worthington-death-toddler-sexually-assaulted-father-judge,UK news,2016-01-19,2017-11-29,1
guardian_fe26a7c2fc,The Guardian,2016,IPCC,"Poppi Worthington: toddler was sexually assaulted before death, says judge",https://www.theguardian.com/uk-news/2016/jan/19/poppi-worthington-baby-was-sexually-assaulted-before-death-says-judge,UK news,2016-01-19,2024-11-08,1
guardian_0cad45d1c4,The Guardian,2016,"""1.5C""","2015 smashes record for hottest year, final figures confirm",https://www.theguardian.com/environment/2016/jan/20/2015-smashes-record-for-hottest-year-final-figures-confirm,Environment,2016-01-20,2021-08-25,3
guardian_ac1add8350,The Guardian,2016,IPCC,"Poppi Worthington death: second police inquiry needed, MP says",https://www.theguardian.com/uk-news/2016/jan/20/poppi-worthington-death-second-police-inquiry-needed-mp-says,UK news,2016-01-20,2017-11-29,2
guardian_033692d185,The Guardian,2016,IPCC,"Poppi Worthington's father has fled abroad after death threats, says sister",https://www.theguardian.com/uk-news/2016/jan/21/poppi-worthington-father-paul-in-hiding-death-threats,UK news,2016-01-21,2017-11-29,2
guardian_aca9e8696c,The Guardian,2016,IPCC,Report into Stephen Lawrence spying claims expected to be published soon,https://www.theguardian.com/uk-news/undercover-with-paul-lewis-and-rob-evans/2016/jan/22/report-into-stephen-lawrence-spying-claims-expected-to-be-published-soon,UK news,2016-01-22,2018-01-11,1
guardian_5325c5789e,The Guardian,2016,"""global temperature""",Record hot 2015 gave us a glimpse at the future of global warming,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2016/jan/25/record-hot-2015-gave-us-a-glimpse-at-the-future-of-global-warming,Environment,2016-01-25,2021-08-25,6
guardian_b1dd3009fc,The Guardian,2016,IPCC,Benidorm review – it’s like an embarrassing uncle who’s stuck in the 1970s,https://www.theguardian.com/tv-and-radio/2016/jan/26/benidorm-review-silent-witness,Television & radio,2016-01-26,2018-06-19,1
guardian_3fb668ae36,The Guardian,2016,"""net zero""",UN urges business leaders to double investment in green energy by 2020,https://www.theguardian.com/environment/2016/jan/27/un-urges-business-leaders-to-double-investment-in-green-energy-by-2020,Environment,2016-01-27,2021-08-25,1
guardian_42926c9524,The Guardian,2016,"""global temperature""","Study finds slim odds of record heat, but not as slim as reported",https://www.theguardian.com/environment/climate-consensus-97-per-cent/2016/jan/27/study-finds-slim-odds-of-record-heat-but-not-as-slim-as-reported,Environment,2016-01-27,2021-08-25,2
guardian_e303281681,The Guardian,2016,"""global temperature""","No need to tighten UK carbon budget in light of Paris deal, say climate advisers",https://www.theguardian.com/environment/2016/jan/28/no-need-to-increase-uk-carbon-budget-in-light-of-paris-deal-say-climate-advisers,Environment,2016-01-28,2021-08-25,1
guardian_0e682b9bbe,The Guardian,2016,IPCC,"'If the world ends in 2100, we’re probably OK'",https://www.theguardian.com/music/climate-consensus-97-per-cent/2016/jan/29/if-the-world-ends-in-2100-were-probably-ok,Environment,2016-01-29,2021-08-25,1
guardian_8a49643811,The Guardian,2016,"""global temperature""",We print money to bail out banks. Why can’t we do it to solve climate change?,https://www.theguardian.com/global-development-professionals-network/2016/jan/30/print-money-climate-change-green-bond-quantitative-easing,Working in development,2016-01-30,2021-08-25,1
guardian_ab3b9a8ed1,The Guardian,2016,IPCC,Two police officers could face charges over death of man in custody,https://www.theguardian.com/uk-news/2016/feb/01/two-police-officers-face-possible-charges-over-the-death-of-a-man-in-custody,UK news,2016-02-01,2017-09-20,1
guardian_b8bf0226a0,The Guardian,2016,IPCC,Republicans reject climate change fears despite rebukes from scientists,https://www.theguardian.com/us-news/2016/feb/01/republicans-ted-cruz-marco-rubio-climate-change-scientists,US news,2016-02-01,2021-08-25,3
guardian_a7de439dab,The Guardian,2016,"""carbon budget""",Queensland gives Adani environmental permit for Carmichael coalmine,https://www.theguardian.com/environment/2016/feb/02/queensland-gives-adani-environmental-permit-for-carmichael-coalmine,Environment,2016-02-02,2021-08-25,1
guardian_baf843287f,The Guardian,2016,"""global temperature""",Climate change in charts: from record global temperatures to science denial,https://www.theguardian.com/environment/planet-oz/2016/feb/02/climate-change-in-charts-from-record-global-temperatures-to-science-denial,Environment,2016-02-02,2021-08-25,7
guardian_9c99b1696c,The Guardian,2016,"""carbon budget""",Senior CSIRO scientist derides chief executive's claim climate change is 'answered',https://www.theguardian.com/australia-news/2016/feb/05/senior-csiro-scientist-derides-chief-executives-claim-climate-change-is-answered,Australia news,2016-02-05,2021-08-25,1
guardian_bd0b0af60a,The Guardian,2016,IPCC,"After climate cuts at CSIRO, who should we ask about global warming impacts on Australia? Netflix?",https://www.theguardian.com/environment/planet-oz/2016/feb/05/after-climate-cuts-at-csiro-who-should-we-ask-about-global-warming-impacts-on-australia-netflix,Environment,2016-02-05,2021-08-25,1
guardian_585f93c111,The Guardian,2016,"""1.5C""",CSIRO climate cuts attack a national treasure when we need it most,https://www.theguardian.com/australia-news/2016/feb/08/csiro-climate-cuts-would-be-attacking-a-national-treasure-when-we-need-it-most,Australia news,2016-02-08,2021-08-25,3
guardian_b51e6532d7,The Guardian,2016,"""global temperature""",No climate conspiracy: NOAA temperature adjustments bring data closer to pristine,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2016/feb/08/no-climate-conspiracy-noaa-temperature-adjustments-bring-data-closer-to-pristine,Environment,2016-02-08,2021-08-25,4
guardian_e80ddcac2a,The Guardian,2016,IPCC,"CSIRO climate cuts will cost Australia dear, world scientists warn government",https://www.theguardian.com/australia-news/2016/feb/08/csiro-climate-cuts-will-cost-australia-dear-world-scientists-warn-government,Australia news,2016-02-08,2021-08-25,2
guardian_1a0901fb10,The Guardian,2016,IPCC,Police officers jailed over Bijan Ebrahimi murder case,https://www.theguardian.com/uk-news/2016/feb/09/bijan-ebrahimi-murder-bristol-police-sentenced,UK news,2016-02-09,2017-09-20,3
guardian_c275625fc8,The Guardian,2016,IPCC,New law could confuse police misconduct with criminal offence,https://www.theguardian.com/public-leaders-network/2016/feb/09/law-confuse-police-misconduct-criminal-offence,Public Leaders Network,2016-02-09,2017-09-20,1
guardian_0f52ef219f,The Guardian,2016,"""net zero""",Women in property industry must speak up on gender equality: Green buildings CEO,https://www.theguardian.com/sustainable-business/2016/feb/10/women-in-property-industry-must-speak-up-on-gender-equality-green-buildings-ceo,Guardian Sustainable Business,2016-02-10,2016-02-12,1
guardian_f2d158c978,The Guardian,2016,"""carbon budget""",Five reasons Greg Hunt may not be the best minister in the world,https://www.theguardian.com/australia-news/2016/feb/10/five-reasons-greg-hunt-may-not-be-the-best-minister-in-the-world,Australia news,2016-02-10,2018-03-13,1
guardian_01992f591f,The Guardian,2016,"""global temperature""",Checking Ted Cruz's climate science denial howlers,https://www.theguardian.com/environment/planet-oz/2016/feb/11/checking-ted-cruzs-climate-science-denial-clangers,Environment,2016-02-11,2021-08-25,1
guardian_096a200b64,The Guardian,2016,"""global temperature""","Climate change may have helped spread Zika virus, according to WHO scientists",https://www.theguardian.com/world/2016/feb/11/climate-change-zika-virus-south-central-america-mosquitos,World news,2016-02-11,2022-10-19,1
guardian_4a8fcaa1b6,The Guardian,2016,"""global temperature""",Republican candidates race to catch Trump as 2016 race heats up – as it happened,https://www.theguardian.com/us-news/live/2016/feb/11/2016-us-presidential-election-south-carolina-primary-trump-sanders-clinton-kasich-bush-cruz-rubio,US news,2016-02-11,2020-02-26,6
guardian_9c70e00ddd,The Guardian,2016,IPCC,Rape victims have a right to be believed by the police,https://www.theguardian.com/commentisfree/2016/feb/11/raoe-victims-police-bernard-hogan-howe,Opinion,2016-02-11,2017-09-20,1
guardian_34e9ac8f61,The Guardian,2016,"""net zero""","Climate risks could wreak havoc on financial markets, EU watchdog warns",https://www.theguardian.com/global-development/2016/feb/12/climate-risks-could-wreak-havoc-on-financial-markets-eu-watchdog-warns,Global development,2016-02-12,2021-08-25,1
guardian_b56be89b83,The Guardian,2016,"""net zero""",Europe's climate change goals 'need profound lifestyle changes',https://www.theguardian.com/environment/2016/feb/15/europe-climate-change-goals-need-profound-lifestyle-changes-european-commission,Environment,2016-02-15,2021-08-25,1
guardian_07505891b6,The Guardian,2016,"""1.5C""",Europe places bets on natural gas to secure energy future,https://www.theguardian.com/environment/2016/feb/16/europe-places-bets-on-natural-gas-to-secure-energy-future,Environment,2016-02-16,2021-08-25,1
guardian_488ccef058,The Guardian,2016,"""net zero""",Masdar's zero-carbon dream could become world’s first green ghost town,https://www.theguardian.com/environment/2016/feb/16/masdars-zero-carbon-dream-could-become-worlds-first-green-ghost-town,Environment,2016-02-16,2021-08-25,2
guardian_9f2069f760,The Guardian,2016,"""1.5C""",Donald Trump warned against scrapping Paris climate deal,https://www.theguardian.com/environment/2016/feb/16/todd-stern-warns-republicans-against-scrapping-paris-climate-deal,Environment,2016-02-16,2021-08-25,1
guardian_5e9d4dc0f0,The Guardian,2016,"""net zero""",UK councils warned of 'severe penalties' of fossil fuel divestment,https://www.theguardian.com/environment/2016/feb/18/uk-councils-warned-of-severe-penalties-of-fossil-fuel-divestment,Environment,2016-02-18,2016-02-19,1
guardian_ab0be9dad9,The Guardian,2016,IPCC,Police recruit more investigators for Edward Heath inquiry,https://www.theguardian.com/politics/2016/feb/19/edward-heath-inquiry-police-recruit-more-investigators,Politics,2016-02-19,2018-01-11,1
guardian_ddb14a45eb,The Guardian,2016,IPCC,Republicans' favorite climate chart has some serious problems,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2016/feb/19/republicans-favorite-climate-chart-has-some-serious-problems,Environment,2016-02-19,2021-08-25,7
guardian_a3818afc01,The Guardian,2016,"""1.5C""","295,000 US deaths may be prevented by 2030 with cuts to greenhouse gas",https://www.theguardian.com/environment/2016/feb/22/us-deaths-greenhouse-gas-295000-emission-cuts-climate-change,Environment,2016-02-22,2021-08-25,1
guardian_068fc2a26e,The Guardian,2016,"""global temperature""",Carbon emissions: here's what we can do to hit 'science-based targets',https://www.theguardian.com/sustainable-business/2016/feb/23/science-based-targets-ghg-emissions-carbon-climate-change-environment,Guardian Sustainable Business,2016-02-23,2021-08-25,2
guardian_17e6cd87e9,The Guardian,2016,"""carbon budget""",Science will help push companies towards a low-carbon future,https://www.theguardian.com/sustainable-business/2016/feb/23/ghg-emissions-paris-cop21-business-climate-change-low-carbon-targets-epa,Guardian Sustainable Business,2016-02-23,2021-08-25,1
guardian_388a6bb9f0,The Guardian,2016,"""net zero""",Green investment bank 'no longer required by law to invest in green projects',https://www.theguardian.com/environment/2016/feb/23/green-investment-bank-will-no-longer-be-required-by-law-to-invest-in-green-projects,Environment,2016-02-23,2018-02-14,1
guardian_03293fdd3d,The Guardian,2016,IPCC,Rotherham child abuse trial: four men and two women found guilty,https://www.theguardian.com/uk-news/2016/feb/24/child-sex-abuse-rotherham-guilty-gang-hussain,UK news,2016-02-24,2019-01-08,1
guardian_53cff9479e,The Guardian,2016,"""global temperature""",Earth is warming 50x faster than when it comes out of an ice age,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2016/feb/24/earth-is-warming-is-50x-faster-than-when-it-comes-out-of-an-ice-age,Environment,2016-02-24,2021-08-25,3
guardian_183f709a7f,The Guardian,2016,"""carbon budget""",Fossil fuel use must fall twice as fast as thought to contain global warming - study,https://www.theguardian.com/environment/2016/feb/25/fossil-fuel-use-must-fall-twice-fast-thought-contain-global-warming,Environment,2016-02-25,2021-08-25,1
guardian_6850c17b21,The Guardian,2016,IPCC,Poppi Worthington case police chief under investigation,https://www.theguardian.com/uk-news/2016/feb/26/poppi-worthington-case-police-chief-under-investigation,UK news,2016-02-26,2017-09-20,1
guardian_9e6824c0ee,The Guardian,2016,"""net zero""",EU set to emit 2bn tonnes more CO2 than Paris climate pledge,https://www.theguardian.com/environment/2016/feb/29/eu-set-to-emit-2bn-tonnes-more-co2-than-paris-climate-pledge,Environment,2016-02-29,2021-08-25,1
guardian_5cd41c6e3c,The Guardian,2016,IPCC,Stephen Lawrence's family criticise police over alleged spy plot,https://www.theguardian.com/uk-news/2016/mar/02/stephen-lawrence-former-police-officer-avoids-charges-over-alleged-spying,UK news,2016-03-02,2018-01-11,2
guardian_2837b0f511,The Guardian,2016,"""global temperature""",Why is 2016 smashing heat records?,https://www.theguardian.com/environment/2016/mar/04/is-el-nino-or-climate-change-behind-the-run-of-record-temperatures,Environment,2016-03-04,2021-08-25,2
guardian_14cd309690,The Guardian,2016,"""1.5C""",Russians make world's deepest dive under ice,https://www.theguardian.com/world/2016/mar/06/russia-worlds-deepest-dive-under-ice-white-sea,World news,2016-03-06,2017-11-29,1
guardian_520ce55a8e,The Guardian,2016,IPCC,Mentally ill people more likely to die after police use force – watchdog,https://www.theguardian.com/society/2016/mar/06/mentally-ill-people-more-likely-to-die-after-police-use-force-says-watchdog,Society,2016-03-06,2018-01-11,1
guardian_b2dee22798,The Guardian,2016,"""net zero""",UK must aim for zero emissions at home too,https://www.theguardian.com/environment/2016/mar/06/uk-must-aim-for-zero-emissions-at-home-too,Environment,2016-03-06,2021-08-25,1
guardian_f9e7dcf150,The Guardian,2016,"""net zero""",Ed Miliband calls for law to make CO2 emissions target legally binding,https://www.theguardian.com/environment/2016/mar/06/ed-miliband-calls-for-law-co2-emissions-target-legally-binding-paris-climate-talks,Environment,2016-03-06,2021-08-25,1
guardian_3f07fe8008,The Guardian,2016,"""1.5C""","China's carbon emissions may have peaked already, says Lord Stern",https://www.theguardian.com/environment/2016/mar/07/chinas-carbon-emissions-may-have-peaked-already-says-lord-stern,Environment,2016-03-07,2021-08-25,2
guardian_68612eae6d,The Guardian,2016,"""1.5C""","EU open to increasing 2030 carbon target, says top climate negotiator",https://www.theguardian.com/environment/2016/mar/07/eu-open-to-increasing-2030-carbon-target-says-top-climate-negotiator,Environment,2016-03-07,2021-08-25,1
guardian_42f0324e85,The Guardian,2016,"""carbon budget""",I shower once a week. Here’s why you should too,https://www.theguardian.com/commentisfree/2016/mar/08/shower-once-a-week-polluting-environment,Opinion,2016-03-08,2021-08-25,1
guardian_f1005759ea,The Guardian,2016,IPCC,Calls for review of police use of restraint over lung cancer patient's death,https://www.theguardian.com/uk-news/2016/mar/08/philmore-mills-coroner-review-police-use-restraint-lung-cancer-patient-death,UK news,2016-03-08,2017-11-29,2
guardian_6275029c9e,The Guardian,2016,IPCC,Excessive force: it's ludicrous to blame TV cops for the public's fear of police,https://www.theguardian.com/tv-and-radio/tvandradioblog/2016/mar/09/ipcc-happy-valley-peaky-blinders-line-of-duty,Television & radio,2016-03-09,2018-01-11,2
guardian_d631248eb9,The Guardian,2016,"""1.5C""",Dangerous global warming will happen sooner than thought – study,https://www.theguardian.com/environment/2016/mar/10/dangerous-global-warming-will-happen-sooner-than-thought-study,Environment,2016-03-09,2021-08-25,1
guardian_6d0e6ea1e9,The Guardian,2016,IPCC,The Office for Police Conduct must be a watchdog with teeth,https://www.theguardian.com/commentisfree/2016/mar/10/office-for-police-conduct-watchdog,Opinion,2016-03-10,2018-01-11,1
guardian_15b1f50496,The Guardian,2016,IPCC,Sea level rise is accelerating; how much it costs is up to us,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2016/mar/11/sea-level-rise-is-accelerating-how-much-it-costs-is-up-to-us,Environment,2016-03-11,2021-08-25,1
guardian_1e03c02e57,The Guardian,2016,IPCC,"CSIRO climate cuts 'a catastrophic failure of public policy', Senate told",https://www.theguardian.com/australia-news/2016/mar/11/csiro-climate-cuts-a-catastrophic-failure-of-public-policy-senate-told,Australia news,2016-03-11,2021-08-25,1
guardian_fc79aa4410,The Guardian,2016,IPCC,Police pay out to parents of boy murdered after online grooming,https://www.theguardian.com/uk-news/2016/mar/13/parents-of-murdered-boy-get-payout-from-police-for-mishandling-case,UK news,2016-03-13,2017-11-29,1
