article_id,newspaper,year_window,search_term,title,article_url,section,published_date,updated_date,image_count
guardian_9389b04dbf,The Guardian,2020,"""carbon budget""",The plastic polluters won 2019 – and we're running out of time to stop them,https://www.theguardian.com/environment/2020/jan/02/year-plastic-pollution-clean-beaches-seas,Environment,2020-01-02,2021-10-29,6
guardian_f0b1383f62,The Guardian,2020,"""global temperature""",Australian bushfires are a warning to the world,https://www.theguardian.com/australia-news/2020/jan/02/australian-bushfires-are-a-warning-to-the-world,Australia news,2020-01-02,2021-08-25,1
guardian_49ccd9cdc8,The Guardian,2020,IPCC,We are seeing the very worst of our scientific predictions come to pass in these bushfires,https://www.theguardian.com/commentisfree/2020/jan/03/we-are-seeing-the-very-worst-of-our-scientific-predictions-come-to-pass-in-these-bushfires,Opinion,2020-01-03,2021-08-25,1
guardian_9e37cef9d8,The Guardian,2020,"""carbon budget""",Hot cross buns are popping up early,https://www.theguardian.com/world/2020/jan/03/hot-cross-buns-are-popping-up-early,World news,2020-01-03,2021-08-25,1
guardian_b0837960c9,The Guardian,2020,"""global temperature""",Craig Kelly interview: senior government MPs distance themselves after Piers Morgan lashing,https://www.theguardian.com/australia-news/2020/jan/07/craig-kelly-interview-piers-morgan-calls-mp-disgraceful-for-denying-climate-link-to-bushfires,Australia news,2020-01-06,2021-08-25,1
guardian_2a8b4c2992,The Guardian,2020,IPCC,Visual guide: see how Australia’s bushfires are raging across the country,https://www.theguardian.com/australia-news/2020/jan/07/visual-guide-see-how-australias-bushfires-are-raging-across-the-country,Australia news,2020-01-07,2020-01-08,0
guardian_401eda3adb,The Guardian,2020,"""carbon budget""",Banning cars alone is not the answer,https://www.theguardian.com/politics/2020/jan/07/banning-cars-alone-is-not-the-answer,Politics,2020-01-07,2021-08-25,1
guardian_6924ec9ad7,The Guardian,2020,"""sea level rise""",The Guardian view on an ice-sheet collapse: threatening the world’s coasts,https://www.theguardian.com/commentisfree/2020/jan/07/the-guardian-view-on-an-ice-sheet-collapse-threatening-the-worlds-coasts,Opinion,2020-01-07,2021-08-25,1
guardian_21683e3699,The Guardian,2020,"""sea level rise""",'It makes sense': the trailer park that could be Trump's presidential library,https://www.theguardian.com/us-news/2020/jan/10/trump-presidential-library-florida-briny-breezes,US news,2020-01-10,2020-01-10,2
guardian_a17e29bae1,The Guardian,2020,"""sea level rise""","Terror, hope, anger, kindness: the complexity of life as we face the new normal",https://www.theguardian.com/australia-news/2020/jan/11/terror-hope-anger-kindness-the-complexity-of-life-as-we-face-the-new-normal,Australia news,2020-01-10,2020-01-21,6
guardian_58b9772081,The Guardian,2020,"""sea level rise""",Why do record ocean temperatures matter?,https://www.theguardian.com/environment/2020/jan/13/why-record-ocean-temperatures-matter,Environment,2020-01-13,2021-10-29,1
guardian_e9c439b3fe,The Guardian,2020,"""sea level rise""",Ocean temperatures hit record high as rate of heating accelerates,https://www.theguardian.com/environment/2020/jan/13/ocean-temperatures-hit-record-high-as-rate-of-heating-accelerates,Environment,2020-01-13,2021-08-25,2
guardian_dadd33a994,The Guardian,2020,IPCC,"Labour leadership contest: We failed on Russia under Corbyn's leadership, says Nandy – live news",https://www.theguardian.com/politics/live/2020/jan/15/pmqs-boris-johnson-corbyn-labour-trump-praises-boris-johnson-for-suggesting-us-should-draft-new-iran-deal-live-news,Politics,2020-01-15,2020-01-15,2
guardian_ad9150819d,The Guardian,2020,IPCC,"Behind the smokescreen, the Coalition's stance on climate change hasn't changed at all",https://www.theguardian.com/commentisfree/2020/jan/18/behind-the-smokescreen-the-coalitions-stance-on-climate-change-hasnt-changed-at-all,Opinion,2020-01-18,2021-08-25,2
guardian_5ceb4cd20c,The Guardian,2020,"""sea level rise""","Treat coastal erosion as a natural catastrophe, UK ministers urged",https://www.theguardian.com/environment/2020/jan/19/treat-coastal-erosion-as-natural-catastrophe-uk-ministers-urged-east-yorkshire,Environment,2020-01-19,2021-08-25,2
guardian_24747f82ed,The Guardian,2020,"""sea level rise""","Climate refugees can't be returned home, says landmark UN human rights ruling",https://www.theguardian.com/world/2020/jan/20/climate-refugees-cant-be-returned-home-says-landmark-un-human-rights-ruling,World news,2020-01-20,2021-08-25,1
guardian_1612ec7b83,The Guardian,2020,"""global temperature""",Davos 2020: Greta demands climate action but Trump blasts pessimists - Day One as it happened,https://www.theguardian.com/business/live/2020/jan/21/davos-2020-donald-trump-greta-thunberg-climate-mark-carney-wef-day-one-live,Business,2020-01-21,2020-01-23,3
guardian_da04d57c95,The Guardian,2020,"""global temperature""",Greta Thunberg tells leaders at Davos to heed global heating science,https://www.theguardian.com/business/2020/jan/21/greta-thunberg-calls-on-world-leaders-to-heed-global-heating-science-davos,Business,2020-01-21,2021-08-25,2
guardian_68c6473f8d,The Guardian,2020,"""global temperature""",Carney sides with Greta Thunberg against Trump over climate,https://www.theguardian.com/business/2020/jan/22/carney-sides-with-greta-thunberg-against-trump-over-climate,Business,2020-01-22,2025-03-11,1
guardian_a728062496,The Guardian,2020,"""global temperature""","There’s nothing safe about a country in flames, and the Coalition will exploit that",https://www.theguardian.com/commentisfree/2020/jan/22/theres-nothing-safe-about-a-country-in-flames-and-the-coalition-will-exploit-that,Opinion,2020-01-22,2021-08-25,1
guardian_d4a25d33fa,The Guardian,2020,"""carbon budget""",Scott Morrison's stance on climate change makes it harder for future governments to undo his damage,https://www.theguardian.com/business/grogonomics/2020/jan/22/scott-morrisons-stance-on-climate-change-makes-it-harder-for-future-governments-to-undo-his-damage,Business,2020-01-22,2021-08-25,1
guardian_eb7aae30b3,The Guardian,2020,"""carbon budget""","Davos 2020: Prince Charles, Donald Trump and Sajid Javid speak -Day Two as it happened",https://www.theguardian.com/business/live/2020/jan/22/davos-2020-mark-carney-prince-charles-climate-trade-trump-business-live,Business,2020-01-22,2025-03-11,1
guardian_721ac5de02,The Guardian,2020,"""carbon budget""",Greta Thunberg clashes with US treasury secretary in Davos,https://www.theguardian.com/business/2020/jan/23/greta-thunberg-told-to-study-economics-by-us-treasury-secretary-steven-mnuchin,Business,2020-01-23,2021-08-25,2
