article_id,newspaper,year_window,search_term,article_title,article_url,published_date,updated_date,image_index,image_url,local_image_path,caption,credit,positive_chart_signal_count,positive_chart_signals,negative_photo_signal_count,negative_photo_signals,review_priority,auto_review_label,dedup_image_path,metadata_source_csv
guardian_8e43057087,The Guardian,2013,"""global temperature""","Hottest on record: 2012 was America's warmest ever year, scientists say",https://www.theguardian.com/environment/2013/jan/08/hottest-on-record-2012-america,2013-01-08,2021-08-25,2,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/audio/video/2013/1/8/1357678195969/Record-temperatures-US-001.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-01-08_guardian_8e43057087_img02.jpg,"Record temperatures, US. Photograph: NOAA/NCDC",,1,graph,3,photo|photograph|video,0,likely_visualization,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz_dedup\guardian_2013-01-08_guardian_8e43057087_img02.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images_2013.csv
guardian_b7866bb156,The Guardian,2013,"""global temperature""",Global warming: has the rise in temperatures 'paused'? – as it happened,https://www.theguardian.com/environment/blog/2013/jan/09/global-warming-met-office-paused,2013-01-10,2022-05-24,1,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2013/1/9/1357729984401/-570.png?width=465&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-01-10_guardian_b7866bb156_img01.png,"Met Office's global annual temperature decadal forecast. Published December, 2011 Photograph: Met Office Photograph: /Met Office",,1,graph,2,photo|photograph,0,likely_visualization,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz_dedup\guardian_2013-01-10_guardian_b7866bb156_img01.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images_2013.csv
guardian_a9bb4437ce,The Guardian,2013,"""global temperature""","2012 among the 10 warmest years on record, figures show",https://www.theguardian.com/environment/2013/jan/16/2012-10-warmest-years-on-record,2013-01-16,2021-08-25,1,https://i.guim.co.uk/img/static/sys-images/Environment/Pix/columnists/2013/1/16/1358337238983/Global-Temperatures--Long-008.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-01-16_guardian_a9bb4437ce_img01.jpg,"According to an ongoing temperature analysis conducted by scientists at NASA, the average global temperature on Earth has increased by about 0.8C (1.4F) since 1880, (left 1880-1889) compared to today (right 2000-2009). Photograph: GISS/NASA",,1,graph,2,photo|photograph,0,likely_visualization,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz_dedup\guardian_2013-01-16_guardian_a9bb4437ce_img01.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images_2013.csv
guardian_8c4e336da4,The Guardian,2013,"""carbon budget""",China and Australia top list of 'carbon bomb' projects,https://www.theguardian.com/environment/2013/jan/22/china-australia-carbon-bomb,2013-01-22,2021-08-25,2,https://i.guim.co.uk/img/static/sys-images/Environment/Pix/pictures/2013/1/22/1358855083968/Carbon-bombs-map-001.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-01-22_guardian_8c4e336da4_img02.jpg,Carbon bombs map Photograph: guardian.co.uk,,2,graph|map,3,ap photo|photo|photograph,0,likely_visualization,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz_dedup\guardian_2013-01-22_guardian_8c4e336da4_img02.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images_2013.csv
guardian_55b032a9d8,The Guardian,2013,"""global temperature""",Global warming predictions prove accurate,https://www.theguardian.com/environment/2013/mar/27/climate-change-model-global-warming,2013-03-27,2021-08-25,2,https://i.guim.co.uk/img/static/sys-images/Environment/Pix/columnists/2013/3/27/1364398212810/-Climate-forecast-and-obs-001.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-03-27_guardian_55b032a9d8_img02.jpg,The climate forecast published in 1999 is showed by the dashed black line. Actual temperatures are shown by the red line (as a 10-year mean) and yellow diamonds (for individual years). The graph shows that temperatures rose somewhat faster than predicted in the early 2000s before returning to the forecasted trend in the last few years. Photograph: Nature Geoscience,,1,graph,2,photo|photograph,0,likely_visualization,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz_dedup\guardian_2013-03-27_guardian_55b032a9d8_img02.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images_2013.csv
guardian_cfc881c860,The Guardian,2013,"""global temperature""",Why can't we quit fossil fuels?,https://www.theguardian.com/environment/2013/apr/17/why-cant-we-give-up-fossil-fuels,2013-04-17,2021-08-25,3,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2013/4/17/1366219149837/C02-emissions-since-1850--001.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-04-17_guardian_cfc881c860_img03.jpg,CO2 emissions since 1850 (red); exponential growth (blue); cuts to hit climate target (dashed). Photograph: guardian.co.uk,,1,graph,2,photo|photograph,0,likely_visualization,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz_dedup\guardian_2013-04-17_guardian_cfc881c860_img03.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images_2013.csv
guardian_5d0a9b953d,The Guardian,2013,"""global temperature""",How the burning of fossil fuels was linked to a warming world in 1938,https://www.theguardian.com/environment/blog/2013/apr/22/guy-callendar-climate-fossil-fuels,2013-04-22,2021-08-25,2,https://i.guim.co.uk/img/static/sys-images/Environment/Pix/columnists/2013/4/22/1366634505406/Leo-blog-about-climatolog-006.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-04-22_guardian_5d0a9b953d_img02.jpg,"Comparing historical reconstructions of near-global land temperatures using CRUTEM4 (black, Jones et al. 2012) with Callendar (1938) (red) and Callendar (1961) (blue), using a reference period of 1880-1935. The CRUTEM4 estimates are for 60◦S-60◦N (to accord with Callendar’s series), with grey shading representing the 95% uncertainty. Image: Ed Hawkins and Phil D. Jones",,0,,0,,1,broad_candidate,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz_dedup\guardian_2013-04-22_guardian_5d0a9b953d_img02.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images_2013.csv
guardian_8df57908c2,The Guardian,2013,IPCC,Survey finds 97% of climate science papers agree warming is man-made,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2013/may/16/climate-change-scienceofclimatechange,2013-05-16,2021-08-25,2,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2013/5/15/1368580771612/Endorsements.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-05-16_guardian_8df57908c2_img02.jpg,The growth of the scientific consensus on human-caused global warming in the peer-reviewed literature from 1991 to 2011,,0,,0,,1,broad_candidate,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz_dedup\guardian_2013-05-16_guardian_8df57908c2_img02.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images_2013.csv
guardian_8df57908c2,The Guardian,2013,IPCC,Survey finds 97% of climate science papers agree warming is man-made,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2013/may/16/climate-change-scienceofclimatechange,2013-05-16,2021-08-25,3,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2013/4/30/1367296788971/Attribution50_450pix.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-05-16_guardian_8df57908c2_img03.jpg,Summary of results from 8 studies of the causes of global warming.,,0,,0,,1,broad_candidate,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz_dedup\guardian_2013-05-16_guardian_8df57908c2_img03.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images_2013.csv
guardian_b36f42dcaf,The Guardian,2013,"""global temperature""",Zombie climate sceptic theories survive only in newspapers and on TV,https://www.theguardian.com/environment/planet-oz/2013/may/17/zombie-climate-sceptic-theories-newspapers-tv,2013-05-17,2021-08-25,2,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2013/5/16/1368700916681/sks_abstracts.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-05-17_guardian_b36f42dcaf_img02.jpg,The numbers of scientific papers rejecting anthropogenic global warming remains miniscule for 20 years,,0,,0,,1,broad_candidate,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz_dedup\guardian_2013-05-17_guardian_b36f42dcaf_img02.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images_2013.csv
guardian_c4c5b5e6b3,The Guardian,2013,IPCC,Woolwich: new video shows suspect charging at police,https://www.theguardian.com/uk/blog/2013/may/24/woolwich-new-video-shows-suspect-charging-at-police-live-updates,2013-05-24,2017-09-15,2,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2013/5/24/1369402444151/d6e701bc-6f47-4cd8-b98d-d3d8e6b749ae-1024x768.png?width=465&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-05-24_guardian_c4c5b5e6b3_img02.png,The route of a plane diverted today from Manchester to Stansted. Photograph: Flightradar24 Photograph: Flightradar24,,1,graph,3,photo|photograph|video,0,likely_visualization,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz_dedup\guardian_2013-05-24_guardian_c4c5b5e6b3_img02.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images_2013.csv
guardian_4c11daf69f,The Guardian,2013,IPCC,Silver linings in the IEA report on 2012 fossil fuel carbon emissions,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2013/jun/11/climate-change-carbon-emissions-iea-silver-lining,2013-06-11,2021-08-25,2,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2013/6/11/1370910532543/ChinaElectricityCo2.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-06-11_guardian_4c11daf69f_img02.jpg,Chinese CO2 emissions per unit of electricity generation since 2000,,0,,0,,1,broad_candidate,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz_dedup\guardian_2013-06-11_guardian_4c11daf69f_img02.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images_2013.csv
guardian_4c11daf69f,The Guardian,2013,IPCC,Silver linings in the IEA report on 2012 fossil fuel carbon emissions,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2013/jun/11/climate-change-carbon-emissions-iea-silver-lining,2013-06-11,2021-08-25,3,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2013/6/11/1370911125449/IEA_IPCC_2012_450pix.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-06-11_guardian_4c11daf69f_img03.jpg,IEA emissions vs. IPCC scenarios,,0,,0,,1,broad_candidate,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz_dedup\guardian_2013-06-11_guardian_4c11daf69f_img03.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images_2013.csv
guardian_5727e9f393,The Guardian,2013,"""global temperature""",Climate change – what next after the 2C boundary?,https://www.theguardian.com/science/political-science/2013/jun/11/science-policy1,2013-06-11,2017-05-09,1,https://i.guim.co.uk/img/static/sys-images/Environment/Pix/columnists/2013/6/11/1370942577667/global-temperature-anomal-008.jpg?width=465&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-06-11_guardian_5727e9f393_img01.jpg,"Global temperature anomalies for 2000-2009, with the Arctic 2°C warmer. The planetary boundary more widely is about to be broken. Photograph: NASA",,1,graph,2,photo|photograph,0,likely_visualization,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz_dedup\guardian_2013-06-11_guardian_5727e9f393_img01.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images_2013.csv
guardian_bd0ed19675,The Guardian,2013,IPCC,The Heartland Institute's skeptical Chinese fantasy,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2013/jun/14/climate-change-heartland-chinese-academy-sciences,2013-06-14,2021-08-25,3,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2013/6/14/1371188004371/ClimateConsensusAndResistance2.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-06-14_guardian_bd0ed19675_img03.jpg,Cook et al. (2013) 97% consensus results and notable anti-consensus campaigns. Image by John Garrett,,1,table,0,,0,likely_visualization,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz_dedup\guardian_2013-06-14_guardian_bd0ed19675_img03.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images_2013.csv
guardian_610096c0b0,The Guardian,2013,"""sea level rise""",Is Obama's climate plan enough to 'stop the planet being beyond fixing'?,https://www.theguardian.com/environment/blog/2013/jun/26/barack-obama-climate-action-plan,2013-06-26,2017-07-14,1,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2013/6/26/1372250961619/5a0b7505-57f9-4b08-b847-4b8a9199ddaf-bestSizeAvailable.png?width=465&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2013-06-26_guardian_610096c0b0_img01.png,"US energy-related CO2 emissions, 1973-2040 Photograph: Washington Post Photograph: Washington Post",,1,graph,2,photo|photograph,0,likely_visualization,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz_dedup\guardian_2013-06-26_guardian_610096c0b0_img01.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images_2013.csv
