article_id,newspaper,year_window,search_term,article_title,article_url,published_date,updated_date,image_index,image_url,local_image_path,caption,credit,positive_chart_signal_count,positive_chart_signals,negative_photo_signal_count,negative_photo_signals,review_priority,auto_review_label
guardian_7f334b8a3d,The Guardian,2017,"""global temperature""",We may be closer than we thought to dangerous climate thresholds,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2017/jan/26/we-may-be-closer-than-we-thought-to-dangerous-climate-thresholds,2017-01-26,2021-08-25,1,https://i.guim.co.uk/img/media/433904dd0dacb0aecbe6353c0a08f2de9e586a09/0_121_3821_2292/master/3821.jpg?width=465&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2017-01-26_guardian_7f334b8a3d_img01.jpg,"The felling of commercial forests in the North Yorkshire Dales, National Park, UK. Land use change like deforestation was a significant early human contributor to global warming. Photograph: Mar Photographics/Alamy",,3,graph|graphic|graphics,2,photo|photograph,0,likely_visualization
guardian_a7924cbb29,The Guardian,2017,"""global temperature""",Great Barrier Reef could face another big coral bleaching event this year,https://www.theguardian.com/environment/2017/feb/24/great-barrier-reef-could-face-another-big-coral-bleaching-event-this-year,2017-02-24,2021-08-25,2,https://i.guim.co.uk/img/media/8947be01f6a1096ad330f4c855957024e4d4c281/85_0_1163_698/master/1163.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2017-02-24_guardian_a7924cbb29_img02.jpg,"A satellite thermal map of the alert areas of the Great Barrier Reef projected this month. The light red reflects the alert level 1 areas, where coral bleaching is likely, and the dark red areas, alert level 2, where mortality is likely. Photograph: NOAA Coral Reef Watch",,2,graph|map,2,photo|photograph,0,likely_visualization
guardian_0085aa6ce3,The Guardian,2017,"""sea level rise""",Record-breaking climate change pushes world into ‘uncharted territory’,https://www.theguardian.com/environment/2017/mar/21/record-breaking-climate-change-world-uncharted-territory,2017-03-21,2021-08-25,2,https://i.guim.co.uk/img/media/c9d3566fddd1ad71c90b60d96053746ae8bdeeb9/0_0_4337_2780/master/4337.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2017-03-21_guardian_0085aa6ce3_img02.jpg,"Eel grass grows in sediment at Lowell’s Cove, Maine, US. Sea-level rise has ruined this once rocky location. Photograph: Robert F Bukaty/AP",,2,chart|graph,2,photo|photograph,0,likely_visualization
guardian_67a36e0b01,The Guardian,2017,"""1.5C""",UK faces sharp rise in wind storms and higher bills as world warms,https://www.theguardian.com/environment/2017/may/15/uk-faces-sharp-rise-destructive-wind-storms-global-warming,2017-05-15,2021-08-25,1,https://i.guim.co.uk/img/media/482c8e3baa5030191ee990f4efa47f68bd33c883/0_0_5179_3433/master/5179.jpg?width=465&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2017-05-15_guardian_67a36e0b01_img01.jpg,"The Burns’ Day storm on 26 January 1990, Charterhouse Square, London. The storm resulted in 47 deaths across the UK. Photograph: Glenn Copus/ANL/Rex/Shutterstock",,2,chart|graph,2,photo|photograph,0,likely_visualization
guardian_7cbc279c43,The Guardian,2017,"""1.5C""",Third-hottest June puts 2017 on track to make hat-trick of hottest years,https://www.theguardian.com/environment/2017/jul/19/third-hottest-june-puts-2017-on-track-to-make-trifecta-of-hottest-years,2017-07-19,2021-08-25,2,https://i.guim.co.uk/img/media/ce2ccc71ea499dd7bf7aeefb0ad9c90ed0e37bba/0_0_1600_960/master/1600.png?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2017-07-19_guardian_7cbc279c43_img02.png,"Monthly temperature anomalies compared with the 1980-2015 mean, according to Nasa’s GISTEMP data set from 1880 until June 2017. Photograph: Nasa",,2,data|graph,2,photo|photograph,0,likely_visualization
guardian_e7edaaf5a0,The Guardian,2017,"""1.5C""","Storm Ophelia: second person killed in Ireland, police confirm - as it happened",https://www.theguardian.com/world/live/2017/oct/16/ex-hurricane-ophelia-landfall-tropical-storm-ireland-red-weather-warning-live-updates,2017-10-16,2019-12-18,3,https://i.guim.co.uk/img/media/d5298215af42a7fea6079ed6047c6087e18a16a9/0_0_2560_1536/master/2560.jpg?width=465&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2017-10-16_guardian_e7edaaf5a0_img03.jpg,Map of powercuts in Northern Ireland as a result of Storm Ophelia. Photograph: powercheck,,2,graph|map,2,photo|photograph,0,likely_visualization
guardian_895d531971,The Guardian,2017,"""climate change""","Meat tax ‘inevitable’ to beat climate and health crises, says report",https://www.theguardian.com/environment/2017/dec/11/meat-tax-inevitable-to-beat-climate-and-health-crises-says-report,2017-12-11,2021-08-25,1,https://i.guim.co.uk/img/media/69ad8295cdaef86944b9910563b05db3865dfea7/44_128_949_569/master/949.jpg?width=465&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2017-12-11_guardian_895d531971_img01.jpg,"Most people eat far too much meat, damaging health and the environment. Photograph: John Giles/PA",,2,graph|table,2,photo|photograph,0,likely_visualization
guardian_05d2803434,The Guardian,2017,"""climate change""",‘The bayou's alive’: ignoring it could kill Houston,https://www.theguardian.com/cities/2017/dec/20/bayou-houston-flood-hurricane-harvey-texas-resilience,2017-12-20,2020-02-03,6,https://i.guim.co.uk/img/media/db1d808f7a039acc01b7e310b5264d7cfea21a8d/0_0_1890_1322/master/1890.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2017-12-20_guardian_05d2803434_img06.jpg,An 1869 map of Houston and the bayou. Photograph: Alamy,,2,graph|map,2,photo|photograph,0,likely_visualization
guardian_7f735a1c39,The Guardian,2017,"""climate change""",Failing our forests: in two years we’ve lost enough trees to cover Spain,https://www.theguardian.com/environment/radical-conservation/2017/dec/22/failing-our-forests-in-two-years-weve-lost-enough-trees-to-cover-spain,2017-12-22,2021-08-25,2,https://i.guim.co.uk/img/media/6bafa63221113262f0a51e4cb6b5efc55ce3bdbd/0_200_4896_2938/master/4896.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2017-12-22_guardian_7f735a1c39_img02.jpg,"Two pre-adolescent boys who are dressed for yam spirit ritual from Abelam tribe in Papua New Guinea. Taken in Maprik District, East Sepik, Momase Region, Papua New Guinea. Photograph: Donald Macdonald/GuardianWitness",,2,graph|map,2,photo|photograph,0,likely_visualization
guardian_ed954e73dd,The Guardian,2017,"""climate change""","New highways in remote Amazon risk ‘ethnocide’, say Peruvians",https://www.theguardian.com/environment/andes-to-the-amazon/2017/dec/22/new-highways-in-remote-amazon-risk-ethnocide-say-peruvians,2017-12-22,2017-12-23,3,https://i.guim.co.uk/img/media/1afd0bd433c5fb28748cc3aaf5b8e3aefada5eb8/0_0_958_564/master/958.png?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2017-12-22_guardian_ed954e73dd_img03.png,"Culture Ministry map showing areas inhabited by indigenous people living in “isolation”, known as the “Mashco-Piro”, in Ucayali, Madre de Dios and Cusco. A highway from the Purus province to Iñapari on the border with Brazil - see below for details - would cut right through this region. Photograph: Peru's Culture Ministry",,2,graph|map,2,photo|photograph,0,likely_visualization
