article_id,newspaper,year_window,search_term,title,article_url,section,published_date,updated_date,image_count
29b67232-26bc-527c-a524-efd2d1a22e99,The New York Times,2020,"""global temperature""",One Thing We Can Do: Fix Recycling,https://www.nytimes.com/2020/01/15/climate/nyt-climate-newsletter-recycling.html,Climate,2020-01-15,,2
271f6dd0-1881-5818-9b0f-dfb06c862dc4,The New York Times,2020,"""carbon budget""","As World Economy Shifts Gears, Trade Growth Slows",https://www.nytimes.com/2020/01/19/business/economy/davos-world-economic-forum-trade.html,Business,2020-01-19,,2
31ea4444-3462-5a21-af64-40a0a563cb4a,The New York Times,2020,"""global temperature""",Trump and the Teenager: A Climate Showdown at Davos,https://www.nytimes.com/2020/01/21/climate/greta-thunberg-trump-davos.html,Climate,2020-01-21,,2
3053b843-e308-58f9-878e-f49667bf901d,The New York Times,2020,"""carbon budget""",Treasury Secretary Steven Mnuchin Takes Jab at Greta Thunberg at Davos,https://www.nytimes.com/2020/01/23/climate/greta-thunberg-steve-mnuchin.html,Climate,2020-01-23,,2
494b3ef8-ee8b-5164-b74f-a563713c0dcd,The New York Times,2020,"""carbon budget""","Big Business Says It Will Tackle Climate Change, but Not How or When",https://www.nytimes.com/2020/01/23/business/corporate-climate-davos.html,Business,2020-01-23,,2
a3d81498-143d-57be-8c41-cedba23fb2ff,The New York Times,2020,"""carbon budget""",Greta Thunberg Joins Climate March on Her Last Day in Davos,https://www.nytimes.com/2020/01/24/world/europe/greta-thunberg-davos-protest.html,World,2020-01-24,,2
7d34a991-2dc1-5697-b14f-c626902b143b,The New York Times,2020,"""global temperature""",How Zombies Ate the G.O.P.’s Soul,https://www.nytimes.com/2020/02/03/opinion/republican-party-trump.html,Opinion,2020-02-03,,2
d2d397f3-c84a-579b-9b26-8aafee2d61ed,The New York Times,2020,"""carbon budget""",Figuring Out Fashion Week’s Carbon Problem,https://www.nytimes.com/2020/02/12/fashion/figuring-out-fashion-weeks-carbon-problem.html,Fashion,2020-02-12,,2
42a4d4a6-828d-5fb4-b29b-d005cd464233,The New York Times,2020,IPCC,"Rajendra Pachauri, 79, Dies; Led Nobel-Winning Climate Agency",https://www.nytimes.com/2020/02/14/science/rajendra-pachauri-dead.html,Science,2020-02-14,,2
657de392-3dcc-59ec-a462-9f3662efe565,The New York Times,2020,"""carbon budget""","Aircraft, Big and Small, Are Changing Our Relationship With Flight",https://www.nytimes.com/2020/02/19/technology/aviation-planes-drones.html,Technology,2020-02-19,,2
f59a77d4-7e64-5543-ac19-19fb9aebf443,The New York Times,2020,"""global temperature""",Should Colleges Divest From Fossil Fuels?,https://www.nytimes.com/2020/02/23/opinion/letters/colleges-divestment-fuels.html,Opinion,2020-02-23,,2
de811287-a15d-54e7-bf2e-3fa50b9abd88,The New York Times,2020,"""global temperature""",U.K. Court Blocks Heathrow Airport Expansion on Environmental Grounds,https://www.nytimes.com/2020/02/27/world/europe/heathrow-airport-third-runway-uk.html,World,2020-02-27,,2
4ce4286c-7e95-5d6d-ad99-ece6e77777b3,The New York Times,2020,"""global temperature""",2 Art Gallery Shows to Explore From Home,https://www.nytimes.com/2020/04/22/arts/design/virtual-art-shows-coronavirus.html,Arts,2020-04-22,,2
6eba409d-060b-52e8-a612-986c0ddb5119,The New York Times,2020,"""global temperature""","Earth Day Message to Leaders: After Coronavirus, Rebuild Wisely",https://www.nytimes.com/2020/04/22/climate/earth-day-climate-coronavirus.html,Climate,2020-04-22,,2
982a191e-932b-5b04-b42f-339ddc408d33,The New York Times,2020,IPCC,"50 Years of Earth Day: What’s Better Today, and What’s Worse",https://www.nytimes.com/interactive/2020/climate/earth-day-history.html,Climate,2020-04-22,,2
6d063b76-bb1b-5052-a139-ffc435b57f3c,The New York Times,2020,"""global temperature""",What’s Going On in This Graph? | Global Temperature Change,https://www.nytimes.com/2020/04/23/learning/whats-going-on-in-this-graph-global-temperature-change.html,The Learning Network,2020-04-23,,2
c326beee-760f-57ce-95ff-d2b189efd4ba,The New York Times,2020,IPCC,"John Houghton, Who Sounded Alarm on Climate Change, Dies at 88",https://www.nytimes.com/2020/04/23/climate/John-Houghton-dead-coronavirus.html,Climate,2020-04-23,,2
6904c045-fc78-51e7-8216-c60eb7877d50,The New York Times,2020,"""1.5C""",U.S. Pilot Dies in Fighter Jet Crash Off British Coast,https://www.nytimes.com/2020/06/15/world/europe/us-jet-crash-uk.html,World,2020-06-15,,2
77489d8d-9c23-56ab-8c40-e722fad21c37,The New York Times,2020,"""1.5C""",U.S. Air Force Pilot Killed Off U.K. Coast Is Identified,https://www.nytimes.com/2020/06/17/world/europe/us-jet-crash-uk.html,World,2020-06-17,,2
ca6969ac-81a9-594d-8ac2-9915fe8cb03a,The New York Times,2020,"""global temperature""",Emissions Are Surging Back as Countries and States Reopen,https://www.nytimes.com/interactive/2020/06/17/climate/virus-emissions-reopening.html,Climate,2020-06-17,,2
6c880edc-da58-590e-8e65-118a58c1e908,The New York Times,2020,IPCC,Are We Overreacting on Climate Change?,https://www.nytimes.com/2020/07/16/books/review/bjorn-lomborg-false-alarm-joseph-stiglitz.html,Books,2020-07-16,,2
4e9a58f2-8da0-54c2-a1d0-ecf416edf5b2,The New York Times,2020,"""global temperature""",A Quarter of Bangladesh Is Flooded. Millions Have Lost Everything.,https://www.nytimes.com/2020/07/30/climate/bangladesh-floods.html,Climate,2020-07-30,,2
ba2beb66-cc83-5724-b5d2-77b2fb0f06d4,The New York Times,2020,"""1.5C""","Homes That Sold for Around $500,000 or Less",https://www.nytimes.com/2020/08/12/realestate/homes-that-sold-for-around-500000-or-less.html,Real Estate,2020-08-12,,2
eb2f94a9-4102-53ab-90b9-3eab2f7a0454,The New York Times,2020,"""carbon budget""",Think You’re Making Good Climate Choices? Take This Mini-Quiz,https://www.nytimes.com/interactive/2020/08/30/climate/climate-footprint-quiz.html,Climate,2020-08-31,,2
dfcf579a-a0a3-5ef6-87f2-7008f3e65d6d,The New York Times,2020,"""global temperature""","“Every year, I get the call. California is burning. California is burning. If that was cleaned, if you had forest management, you wouldn’t be getting those calls.”",https://www.nytimes.com/live/2020/09/29/us/debate-fact-check/every-year-i-get-the-call-california-is-burning-california-is-burning-if-that-was-cleaned-if-you-had-forest-management-you-would,U.S.,2020-09-30,,0
9f137e49-23e3-59c5-b93a-9263d670a704,The New York Times,2020,"""global temperature""","2020 Had the Warmest September on Record, Data Shows",https://www.nytimes.com/2020/10/07/climate/hottest-september.html,Climate,2020-10-07,,2
