article_id,newspaper,year_window,search_term,article_title,article_url,published_date,updated_date,image_index,image_url,local_image_path,caption,credit
7f179545-68e3-5131-8715-4863b3c9886b,The New York Times,2014,"""net zero""",Aspiring to Nothing,https://www.nytimes.com/2014/01/09/garden/aspiring-to-nothing.html,2014-01-09,,1,https://static01.nyt.com/images/2014/01/09/garden/20140109-LOCATION-slide-9TOT/20140109-LOCATION-slide-9TOT-articleLarge.jpg,,,
7f179545-68e3-5131-8715-4863b3c9886b,The New York Times,2014,"""net zero""",Aspiring to Nothing,https://www.nytimes.com/2014/01/09/garden/aspiring-to-nothing.html,2014-01-09,,2,https://static01.nyt.com/images/2014/01/09/garden/20140109-LOCATION-slide-9TOT/20140109-LOCATION-slide-9TOT-thumbStandard-v3.jpg,,,
6e96688f-6499-56c8-baf1-6b9d5b7ff900,The New York Times,2014,"""global temperature""",‘Neglected Topic’ Winner: Climate Change,https://www.nytimes.com/2014/01/19/opinion/sunday/kristof-neglected-topic-winner-climate-change.html,2014-01-18,,1,https://static01.nyt.com/images/2010/09/16/opinion/Kristof_New/Kristof_New-articleLarge.jpg,,,
6e96688f-6499-56c8-baf1-6b9d5b7ff900,The New York Times,2014,"""global temperature""",‘Neglected Topic’ Winner: Climate Change,https://www.nytimes.com/2014/01/19/opinion/sunday/kristof-neglected-topic-winner-climate-change.html,2014-01-18,,2,https://static01.nyt.com/images/2010/09/16/opinion/Kristof_New/Kristof_New-thumbStandard-v4.jpg,,,
2a7ac09b-9a0e-5719-a48b-21b89d530edb,The New York Times,2014,IPCC,Fresh Views on Climate Scientists as Advocates,https://dotearth.blogs.nytimes.com/2014/01/19/fresh-views-on-climate-scientists-as-advocates/,2014-01-19,,1,https://static01.nyt.com/images/2010/05/11/nyregion/11slogan_CA0_inline/11slogan_CA0_inline-articleLarge.jpg,,,
2a7ac09b-9a0e-5719-a48b-21b89d530edb,The New York Times,2014,IPCC,Fresh Views on Climate Scientists as Advocates,https://dotearth.blogs.nytimes.com/2014/01/19/fresh-views-on-climate-scientists-as-advocates/,2014-01-19,,2,https://static01.nyt.com/images/2010/05/11/nyregion/11slogan_CA0_inline/11slogan_CA0_inline-thumbStandard-v2.jpg,,,
09a9338f-3f11-5e5c-8b08-2f7b8f3f4caf,The New York Times,2014,IPCC,A Conversation on Tobacco and Coal Exports and Moral Responsibility,https://dotearth.blogs.nytimes.com/2014/02/07/a-conversation-on-tobacco-and-coal-exports-and-moral-responsibility/,2014-02-07,,1,https://static01.nyt.com/images/2013/09/14/business/JP-COAL/JP-COAL-articleLarge.jpg,,,
09a9338f-3f11-5e5c-8b08-2f7b8f3f4caf,The New York Times,2014,IPCC,A Conversation on Tobacco and Coal Exports and Moral Responsibility,https://dotearth.blogs.nytimes.com/2014/02/07/a-conversation-on-tobacco-and-coal-exports-and-moral-responsibility/,2014-02-07,,2,https://static01.nyt.com/images/2013/09/14/business/JP-COAL/JP-COAL-thumbStandard.jpg,,,
547996af-2f93-5ca1-8b0e-d702602f4539,The New York Times,2014,"""global temperature""",The End of Snow?,https://www.nytimes.com/2014/02/08/opinion/sunday/the-end-of-snow.html,2014-02-07,,1,https://static01.nyt.com/images/2014/02/09/sunday-review/09SNOWjpSUB/09SNOWjpSUB-articleLarge.jpg,,,
547996af-2f93-5ca1-8b0e-d702602f4539,The New York Times,2014,"""global temperature""",The End of Snow?,https://www.nytimes.com/2014/02/08/opinion/sunday/the-end-of-snow.html,2014-02-07,,2,https://static01.nyt.com/images/2014/02/09/sunday-review/09SNOWjpSUB/09SNOWjpSUB-thumbStandard.jpg,,,
27707562-8377-52d9-9224-a3f44e289157,The New York Times,2014,"""global temperature""",Without a Trace,https://www.nytimes.com/2014/02/16/books/review/the-sixth-extinction-by-elizabeth-kolbert.html,2014-02-10,,1,https://static01.nyt.com/images/2014/02/16/books/review/0216-bks-COVER/0216-bks-COVER-articleLarge.jpg,,,
