article_id,newspaper,year_window,search_term,article_title,article_url,published_date,updated_date,image_index,image_url,local_image_path,caption,credit,positive_chart_signal_count,positive_chart_signals,negative_photo_signal_count,negative_photo_signals,review_priority,auto_review_label,dedup_image_path,metadata_source_csv
a7bca25a-064b-5e08-91da-9ddf27e83cd8,The New York Times,2013,"""global temperature""","Fresh Thoughts from Authors of a Paper on 11,300 Years of Global Temperature Changes",https://dotearth.blogs.nytimes.com/2013/03/31/fresh-thoughts-from-authors-of-a-paper-on-11300-years-of-global-temperature-changes/,2013-03-31,,1,https://static01.nyt.com/images/2013/03/07/blogs/dotholocene/dotholocene-thumbStandard.jpg,../Scripts/output/nytimes/nytimes_images/nytimes_2013-03-31_a7bca25a-064b-5e08-91da-9ddf27e83cd8_img01.jpg,,,0,,0,,1,broad_candidate,D:\FR\IGD\IPCC internship\output\nytimes\nytimes_images\nytimes_images_dataviz_dedup\nytimes_2013-03-31_a7bca25a-064b-5e08-91da-9ddf27e83cd8_img01.jpg,D:\FR\IGD\IPCC internship\output\nytimes\nytimes_images_2013.csv
348d9172-59d5-572d-9a79-d27ef174fe84,The New York Times,2013,"""global temperature""",Climate Panel’s Fifth Report Clarifies Humanity’s Choices,https://dotearth.blogs.nytimes.com/2013/09/27/ipcc-global-warming-report-clarifies-humanitys-choices/,2013-09-27,,1,https://static01.nyt.com/images/2013/09/27/blogs/dotdecades/dotdecades-articleLarge.jpg,../Scripts/output/nytimes/nytimes_images/nytimes_2013-09-27_348d9172-59d5-572d-9a79-d27ef174fe84_img01.jpg,,,0,,0,,1,broad_candidate,D:\FR\IGD\IPCC internship\output\nytimes\nytimes_images\nytimes_images_dataviz_dedup\nytimes_2013-09-27_348d9172-59d5-572d-9a79-d27ef174fe84_img01.jpg,D:\FR\IGD\IPCC internship\output\nytimes\nytimes_images_2013.csv
79be730c-b107-501a-aaad-e7e807c409b8,The New York Times,2013,IPCC,Your Dot: On Walking Dogs and Warming Trends,https://dotearth.blogs.nytimes.com/2013/10/09/on-walking-dogs-and-global-warming-trends/,2013-10-09,,1,https://static01.nyt.com/images/2013/10/09/blogs/dotdog/dotdog-thumbStandard.jpg,../Scripts/output/nytimes/nytimes_images/nytimes_2013-10-09_79be730c-b107-501a-aaad-e7e807c409b8_img01.jpg,,,0,,0,,1,broad_candidate,D:\FR\IGD\IPCC internship\output\nytimes\nytimes_images\nytimes_images_dataviz_dedup\nytimes_2013-10-09_79be730c-b107-501a-aaad-e7e807c409b8_img01.jpg,D:\FR\IGD\IPCC internship\output\nytimes\nytimes_images_2013.csv
73c23c96-2235-55a8-ad29-eb819d3b39a0,The New York Times,2013,"""sea level rise""",The Inequality of Climate Change,https://economix.blogs.nytimes.com/2013/11/12/the-inequality-of-climate-change/,2013-11-12,,1,https://static01.nyt.com/images/2013/11/12/business/economy/12economix-climate-change/12economix-climate-change-articleLarge.jpg,../Scripts/output/nytimes/nytimes_images/nytimes_2013-11-12_73c23c96-2235-55a8-ad29-eb819d3b39a0_img01.jpg,,,0,,0,,1,broad_candidate,D:\FR\IGD\IPCC internship\output\nytimes\nytimes_images\nytimes_images_dataviz_dedup\nytimes_2013-11-12_73c23c96-2235-55a8-ad29-eb819d3b39a0_img01.jpg,D:\FR\IGD\IPCC internship\output\nytimes\nytimes_images_2013.csv
15659d57-7f8e-5e0d-b5ef-7d484453373e,The New York Times,2014,"""sea level rise""",Three Long Views of Life With Rising Seas,https://dotearth.blogs.nytimes.com/2014/05/14/three-long-views-of-life-with-rising-seas/,2014-05-14,,2,https://static01.nyt.com/images/2014/05/13/blogs/dotcities/dotcities-thumbStandard-v2.jpg,../Scripts/output/nytimes/nytimes_images/nytimes_2014-05-14_15659d57-7f8e-5e0d-b5ef-7d484453373e_img02.jpg,,,0,,0,,1,broad_candidate,D:\FR\IGD\IPCC internship\output\nytimes\nytimes_images\nytimes_images_dataviz_dedup\nytimes_2014-05-14_15659d57-7f8e-5e0d-b5ef-7d484453373e_img02.jpg,D:\FR\IGD\IPCC internship\output\nytimes\nytimes_images_2014.csv
24784cd5-55fd-5aef-ac9a-fa2207adf357,The New York Times,2014,"""carbon budget""",New CO2 Emissions Report Shows China’s Central Role in Shaping World’s Climate Path,https://dotearth.blogs.nytimes.com/2014/09/23/new-co2-emissions-report-shows-chinas-central-role-in-shaping-worlds-climate-path/,2014-09-23,,1,https://static01.nyt.com/images/2014/09/22/blogs/dotglobcarbchina/dotglobcarbchina-articleLarge.jpg,../Scripts/output/nytimes/nytimes_images/nytimes_2014-09-23_24784cd5-55fd-5aef-ac9a-fa2207adf357_img01.jpg,,,0,,0,,1,broad_candidate,D:\FR\IGD\IPCC internship\output\nytimes\nytimes_images\nytimes_images_dataviz_dedup\nytimes_2014-09-23_24784cd5-55fd-5aef-ac9a-fa2207adf357_img01.jpg,D:\FR\IGD\IPCC internship\output\nytimes\nytimes_images_2014.csv
3feb38b2-f07a-54d0-8fb0-b7ad897eac71,The New York Times,2014,"""sea level rise""",Letter From the Editor: The Larger Meaning of Risk,https://www.nytimes.com/2014/09/27/upshot/letter-from-the-editor-the-larger-meaning-of-risk.html,2014-09-26,,1,https://static01.nyt.com/images/2014/09/27/upshot/27up-newsletter/27up-newsletter-articleLarge.png,../Scripts/output/nytimes/nytimes_images/nytimes_2014-09-26_3feb38b2-f07a-54d0-8fb0-b7ad897eac71_img01.png,,,0,,0,,1,broad_candidate,D:\FR\IGD\IPCC internship\output\nytimes\nytimes_images\nytimes_images_dataviz_dedup\nytimes_2014-09-26_3feb38b2-f07a-54d0-8fb0-b7ad897eac71_img01.png,D:\FR\IGD\IPCC internship\output\nytimes\nytimes_images_2014.csv
0bc76c18-49ca-5341-8fd2-94d2756e2d8f,The New York Times,2014,"""sea level rise""","Growing, and Growing Vulnerable",https://www.nytimes.com/2014/09/30/science/barrier-islands-feeling-the-effects-of-climate-change.html,2014-09-29,,2,https://static01.nyt.com/images/2014/09/30/science/30COAST2/30COAST2-thumbStandard.jpg,../Scripts/output/nytimes/nytimes_images/nytimes_2014-09-29_0bc76c18-49ca-5341-8fd2-94d2756e2d8f_img02.jpg,,,0,,0,,1,broad_candidate,D:\FR\IGD\IPCC internship\output\nytimes\nytimes_images\nytimes_images_dataviz_dedup\nytimes_2014-09-29_0bc76c18-49ca-5341-8fd2-94d2756e2d8f_img02.jpg,D:\FR\IGD\IPCC internship\output\nytimes\nytimes_images_2014.csv
1065b61f-4df5-5eec-81c2-6275425bd352,The New York Times,2014,"""sea level rise""",A Gulf in Ocean Knowledge,https://www.nytimes.com/2014/10/07/science/a-gulf-in-ocean-knowledge.html,2014-10-06,,1,https://static01.nyt.com/images/2014/10/07/science/07ocean/07ocean-articleLarge.jpg,../Scripts/output/nytimes/nytimes_images/nytimes_2014-10-06_1065b61f-4df5-5eec-81c2-6275425bd352_img01.jpg,,,0,,0,,1,broad_candidate,D:\FR\IGD\IPCC internship\output\nytimes\nytimes_images\nytimes_images_dataviz_dedup\nytimes_2014-10-06_1065b61f-4df5-5eec-81c2-6275425bd352_img01.jpg,D:\FR\IGD\IPCC internship\output\nytimes\nytimes_images_2014.csv
23814194-cc9c-5d2f-b8d6-cab4f2fc6230,The New York Times,2015,"""global temperature""","2014 Breaks Heat Record, Challenging Global Warming Skeptics",https://www.nytimes.com/2015/01/17/science/earth/2014-was-hottest-year-on-record-surpassing-2010.html,2015-01-16,,1,https://static01.nyt.com/images/2015/01/17/science/earth/hottest-year-1421414846265/hottest-year-1421414846265-articleLarge-v2.png,../Scripts/output/nytimes/nytimes_images/nytimes_2015-01-16_23814194-cc9c-5d2f-b8d6-cab4f2fc6230_img01.png,,,0,,0,,1,broad_candidate,D:\FR\IGD\IPCC internship\output\nytimes\nytimes_images\nytimes_images_dataviz_dedup\nytimes_2015-01-16_23814194-cc9c-5d2f-b8d6-cab4f2fc6230_img01.png,D:\FR\IGD\IPCC internship\output\nytimes\nytimes_images_2015.csv
